det,det_pol,Feed,azoff,az_std,eloff,el_std,fwhm_x,fwx_std,fwhm_y,fwy_std,theta,theta_std
38,45,1,0.03164,0.000061,-0.031525,0.000057,1.385008,0.000132,1.54307,0.000147,-65.275396,0.035641
39,-45,1,0.031593,0.000061,-0.03131,0.000057,1.382694,0.000132,1.546471,0.000147,-64.081404,0.034368
40,-45,2,0.0413,0.00006,-0.045172,0.000056,1.399094,0.00013,1.53162,0.000142,-76.243681,0.041543
41,45,2,0.041407,0.00006,-0.044926,0.000056,1.397715,0.00013,1.533819,0.000142,-74.698617,0.040445
42,-45,3,-0.000162,0.00006,-0.000415,0.000055,1.405113,0.00013,1.527632,0.000141,89.105402,0.044719
43,45,3,0.000162,0.00006,-0.000415,0.000055,1.405113,0.00013,1.527632,0.000141,-89.105458,0.044718
52,-45,4,-0.041407,0.00006,-0.044926,0.000056,1.397716,0.00013,1.533819,0.000142,74.698442,0.040447
53,45,4,-0.0413,0.00006,-0.045172,0.000056,1.399094,0.00013,1.531621,0.000142,76.24364,0.041543
49,45,5,-0.031591,0.000061,-0.031311,0.000057,1.382697,0.000132,1.546474,0.000147,64.079478,0.034375
51,-45,5,-0.031641,0.000061,-0.031525,0.000057,1.385008,0.000132,1.543073,0.000147,65.276263,0.035646
22,-45,6,-0.016227,0.00006,0.009514,0.000058,1.382212,0.000132,1.530686,0.000146,-54.020366,0.037748
23,45,6,-0.016481,0.00006,0.009674,0.000058,1.379169,0.000131,1.535064,0.000146,-53.184055,0.035817
34,-45,7,0.010278,0.000058,-0.004618,0.000056,1.405602,0.00013,1.512809,0.00014,-63.482297,0.050814
35,45,7,0.010274,0.000058,-0.004578,0.000056,1.40351,0.000129,1.516425,0.00014,-62.117024,0.04826
36,45,8,0.039237,0.000059,0.020121,0.000056,1.421741,0.000131,1.500162,0.000139,-80.200241,0.069635
37,-45,8,0.039512,0.000059,0.020156,0.000056,1.420677,0.000131,1.501801,0.000139,-77.528042,0.067324
47,-45,9,-0.039512,0.000059,0.020155,0.000056,1.420677,0.000131,1.501803,0.000139,77.527974,0.067324
45,45,10,-0.010276,0.000058,-0.004578,0.000056,1.40351,0.000129,1.516422,0.00014,62.116987,0.04826
46,-45,10,-0.010278,0.000058,-0.004619,0.000056,1.405602,0.00013,1.512809,0.00014,63.48216,0.050814
55,45,11,0.01648,0.00006,0.009671,0.000058,1.379159,0.000131,1.535059,0.000146,53.189108,0.035814
56,-45,11,0.016227,0.00006,0.009511,0.000058,1.382213,0.000132,1.530679,0.000146,54.021918,0.037748
30,-45,12,0.007695,0.000059,-0.03771,0.000059,1.372141,0.000132,1.527991,0.000147,-44.013819,0.036067
32,45,12,0.007472,0.000059,-0.037699,0.000059,1.368987,0.000131,1.533122,0.000147,-43.713804,0.034162
26,45,13,-0.022362,0.000057,-0.02551,0.000057,1.399468,0.000129,1.505737,0.000139,-47.95179,0.051139
27,-45,13,-0.022431,0.000057,-0.025689,0.000057,1.39665,0.000129,1.510083,0.000139,-47.426047,0.047876
24,45,14,0.015588,0.000058,0.000674,0.000057,1.427121,0.000132,1.483871,0.000137,-57.33542,0.096037
25,-45,14,0.015624,0.000058,0.000504,0.000057,1.423962,0.000132,1.487811,0.000137,-55.58562,0.085322
57,-45,15,-0.00009,0.000057,-0.019453,0.000056,1.442309,0.000133,1.469957,0.000135,85.754583,0.196053
58,45,15,0.00009,0.000057,-0.019453,0.000056,1.442309,0.000133,1.469956,0.000135,-85.754077,0.196052
