Feed,AzOff,sig_az,ElOff,FWHM_x,FWHM_y,Theta
1,6.77165,,-6.74735,1.5233,1.6348,-72.27
2,3.4222,,-7.05845,1.48255,1.5921,-75.105
3,0.00595,,-7.17655,1.4716,1.59845,-0.800000000000004
4,-3.4079,,-7.0618,1.4404,1.53495,78.545
5,-6.7034,,-6.75125,1.4774,1.5959,74.955
6,8.2724,,-3.8407,1.4732,1.5939,-61.4
7,5.01285,,-4.2217,1.49595,1.5997,-59.965
8,1.6907,,-4.4361,1.48875,1.56955,-79.725
9,-1.68735,,-4.4449,1.4533,1.5248,-3.345
10,-4.9597,,-4.2565,1.41235,1.4852,59.015
11,-8.2369,,-3.8655,1.5274,1.66315,62.245
12,9.73305,,-0.8523,1.43735,1.58,-55.785
13,6.54965,,-1.31575,1.4343,1.5379,-44.51
14,3.3133,,-1.59375,1.48815,1.53385,-62.655
15,0.0148,,-1.68665,1.5272,1.5561,14.92
16,-3.25955,,-1.6277,1.56105,1.5974,63.515
17,-6.51965,,-1.36,1.45225,1.5651,43.965
18,-9.71755,,-0.9083,1.46565,1.59855,54.66
19,9.5216,,2.27575,1.4615,1.60635,-45.56
20,6.4227,,1.8816,1.46785,1.5556,-34
21,3.23645,,1.62835,1.50515,1.5472,-43.28
22,0.02865,,1.5507,1.46125,1.491,-3.89
23,-3.19275,,1.6178,1.5495,1.5941,35.945
24,-6.4011,,1.8674,1.47945,1.56185,30.53
25,-9.50295,,2.25675,1.49425,1.6472,38.555
26,7.835,,4.80535,1.46295,1.61065,-33.255
27,4.7384,,4.51985,1.5037,1.57985,-21.85
28,1.58175,,4.38585,1.4666,1.5285,-8.02
29,-1.56005,,4.38685,1.45235,1.52385,10.835
30,-4.71265,,4.53775,1.4482,1.52465,18.165
31,-7.81145,,4.8255,1.51705,1.66225,31.165
32,6.1859,,7.4548,1.4701,1.6332,-22.94
33,3.0951,,7.28095,1.4617,1.5669,-9.61
34,0.01395,,7.2135,1.4215,1.5381,-0.47
35,-3.093,,7.2847,1.4494,1.5607,11.29
36,-6.15345,,7.45795,1.43875,1.60255,20.52
