,ell,oTT,oEE,oBB,sTT,sEE,sBB,pTT,pEE,pBB,wTT,wEE,wBB,wTT_mkb,wEE_mkb,wBB_mkb
0,0.0,2.893113266971572e-11,0.0,0.0,2.89295060775274e-11,0.0,0.0,1.819686830155806e-11,0.0,0.0,1.0,1.0004558626664728,1.0004558626664728,1.0,1.0004558626664728,1.0004558626664728
1,1.0,1.641506380027997e-11,0.0,0.0,1.640266476017078e-11,0.0,0.0,1.619702284482077e-11,0.0,0.0,0.9997721465662103,1.000227905362809,1.000227905362809,0.9997707891864632,1.0002265473642833,1.0002265473642833
2,2.0,5.124182071374976e-12,1.643265184056607e-31,2.102607089168109e-31,5.11799093477734e-12,1.642216688850875e-31,2.101874923804521e-31,8.28712129353742e-12,1.686029926163501e-47,8.266280238851249e-48,0.9993165954383637,0.9997721465662107,0.9997721465662107,0.9993125256337563,0.9997680749063312,0.9997680749063312
3,3.0,5.150600307363551e-12,1.951398293701413e-32,4.300872602043423e-32,5.141744768595302e-12,1.949212811349931e-32,4.29609598904002e-32,4.564701125348919e-12,1.109445550550654e-48,1.052452017622936e-47,0.9986336579185221,0.9990888977206502,0.9990888977206502,0.9986255253083783,0.9990807614031532,0.9990807614031532
4,4.0,4.777269920311007e-12,2.67740873947717e-32,3.773269054011001e-32,4.768597629233356e-12,2.672968373118386e-32,3.762720637491047e-32,4.129553830526124e-12,1.443041765621149e-47,6.982079624654577e-48,0.997723800516557,0.9981786255486637,0.9981786255486637,0.9977102617048066,0.9981650805650747,0.9981650805650747
5,5.0,1.755291244738279e-12,1.146060021510351e-32,3.61900765093636e-32,1.747713232587753e-12,1.142117777599968e-32,3.608031684290155e-32,1.91992991445433e-12,9.275743014881596e-48,2.36926312053826e-47,0.9965876444190725,0.9970419515200312,0.9970419515200312,0.9965673652999968,0.9970216631564621,0.9970216631564621
6,6.0,8.990008053015142e-13,3.234536851855156e-32,3.895435265041992e-32,8.956522280039819e-13,3.221518387166409e-32,3.879503416525829e-32,1.399616047235261e-12,8.415806456131725e-48,6.243857190713158e-48,0.9952259647826217,0.9956796511446704,0.9956796511446704,0.9951976228274124,0.9956512962694218,0.9956512962694218
7,7.0,1.37386565543695e-12,1.220352075040841e-32,1.248920064072993e-32,1.366550267169965e-12,1.212560198396106e-32,1.241968192963444e-32,1.28421788758255e-12,1.918564945360525e-47,2.062707143571183e-47,0.9936396898523424,0.9940926530908715,0.9940926530908715,0.9936019763717789,0.9940549224181403,0.9940549224181403
8,8.0,1.192164757104978e-12,7.29996447300326e-33,8.648367313116778e-33,1.181521099229061e-12,7.254602083818499e-33,8.597830882542573e-33,1.312833268798911e-12,9.233482725676516e-48,1.885890184444738e-47,0.9918298999074117,0.9922820381302708,0.9922820381302708,0.9917815222860118,0.9922336384553193,0.9922336384553193
9,9.0,4.077946377009432e-13,8.354216576047795e-33,2.688826006439488e-33,4.028814888358767e-13,8.257602629901145e-33,2.652162414899359e-33,3.741788642369302e-13,7.35150692700459e-48,1.259733145749009e-47,0.9897978260349987,0.9902490379112439,0.9902490379112439,0.9897375099320633,0.9901886943124492,0.9901886943124492
10,10.0,7.253966401243252e-13,6.758342268352042e-33,2.672861385040261e-33,7.159192271197497e-13,6.67711723937018e-33,2.642386529950533e-33,6.652849468436575e-13,1.264629960315544e-47,8.93489003056937e-48,0.9875448487346649,0.9879950335626705,0.9879950335626705,0.9874713402477263,0.987921491565957,0.987921491565957
11,11.0,2.306571766562434e-13,7.680060035385022e-33,1.025289628629156e-32,2.275078450073728e-13,7.57791711941877e-33,1.009342287144254e-32,2.296950120577094e-13,1.053723524660995e-47,9.604985334249589e-48,0.9850724963554232,0.9855215541302806,0.9855215541302806,0.984984564141706,0.9854335818315502,0.9854335818315502
12,12.0,7.676161572580052e-13,3.926549522348318e-33,4.003032341307016e-33,7.539967298310508e-13,3.858880712768964e-33,3.938758095956162e-33,7.486647413133796e-13,9.920398525451328e-48,6.9980369644207e-48,0.9823824433679357,0.9828302748480653,0.9828302748480653,0.9822788807195298,0.9827266649893144,0.9827266649893144
13,13.0,4.528838625759902e-13,4.956155244152591e-33,3.884805231044793e-33,4.439785170362601e-13,4.851088561827154e-33,3.805238655323075e-33,4.493584821780687e-13,1.159522469619059e-47,1.390156108685723e-47,0.9794765084745826,0.9799230152474832,0.9799230152474832,0.9793561353431517,0.9798025872424356,0.9798025872424356
14,14.0,4.319015030607993e-13,3.507876639032149e-33,2.919311367506142e-33,4.211080443651603e-13,3.421346226885731e-33,2.853494602312465e-33,4.290748434388942e-13,9.170795518650096e-48,7.107177937144576e-48,0.9763566525603911,0.9768017371074557,0.9768017371074557,0.9762183175273673,0.9766633390126548,0.9766633390126548
15,15.0,4.788551279253154e-13,5.330491272236879e-33,3.538755383400672e-33,4.6691947798787e-13,5.197411310056745e-33,3.441319817619733e-33,4.640589696613156e-13,3.568352351504628e-48,1.672557363268873e-47,0.9730249764880508,0.9734685422483772,0.9734685422483772,0.9728675586763947,0.9733110526758177,0.9733110526758177
16,16.0,2.620090872075797e-13,4.05808993616278e-33,2.920511641702003e-33,2.543904625550978e-13,3.945266918145264e-33,2.826152390144944e-33,2.48413227146412e-13,7.907306202747296e-48,8.785174418713973e-48,0.969483718740493,0.96992567017362,0.96992567017362,0.969306129664246,0.969748000141143,0.969748000141143
17,17.0,2.866219047711578e-13,2.9945249291265e-33,3.560017495034852e-33,2.765577290883747e-13,2.896705899229518e-33,3.444789905658174e-33,2.623499186035277e-13,9.454350031449304e-48,7.339238598193674e-49,0.9657352529147302,0.9661754955622305,0.9661754955622305,0.9655364382627394,0.9659765902780625,0.9659765902780625
18,18.0,1.843220535201978e-13,2.039712283411385e-33,1.864911202819723e-33,1.771497757638261e-13,1.9623706711188e-33,1.793725329955105e-33,2.012670537108722e-13,9.923325829916227e-48,1.240985051536665e-47,0.9617820850708891,0.9622205256167552,0.9622205256167552,0.9615610264212462,0.9619993661947268,0.9619993661947268
19,19.0,1.067709307069678e-13,2.43421913887373e-33,2.39311669084273e-33,1.023760456844012e-13,2.332637227041256e-33,2.291472292015004e-33,1.350854325345679e-13,1.342773784066951e-47,1.137136315711988e-47,0.9576268509405764,0.9580633972703321,0.9580633972703321,0.957382567402483,0.9578190023724935,0.9578190023724935
20,20.0,3.374420840421065e-13,1.554079801446507e-33,1.462211973410953e-33,3.220770709234071e-13,1.483297737673588e-33,1.396605598612237e-33,2.696113112729544e-13,1.199690255929356e-47,1.407981356503785e-47,0.9532723129989324,0.9537068742574107,0.9537068742574107,0.9530038627788805,0.9534383016609258,0.9534383016609258
21,21.0,1.519889218949676e-13,2.481628126478778e-33,1.959108329140637e-33,1.443676568042662e-13,2.36048792561766e-33,1.858594845923112e-33,1.488351847158055e-13,7.086071864255212e-48,8.813182158897408e-48,0.9487213574049238,0.9491538440526499,0.9491538440526499,0.948427839294268,0.9488601921380455,0.9488601921380455
22,22.0,1.721776729976435e-13,2.402518797717914e-33,2.092157448849362e-33,1.624099331438521e-13,2.271392607899639e-33,1.97086402057066e-33,1.632188798611765e-13,4.298243664427041e-48,9.743137947411652e-48,0.9439769908146188,0.9444073146827405,0.9444073146827405,0.9436575455957975,0.94408772384077,0.94408772384077
23,23.0,2.296427337428548e-13,1.838387616323034e-33,1.459905292197622e-33,2.156168880629488e-13,1.728775081250912e-33,1.370894556587185e-33,2.142825780354909e-13,5.887145220623002e-48,9.450193442333205e-48,0.9390423370723665,0.9394704114160752,0.9394704114160752,0.9386961488412509,0.9391240653706692,0.9391240653706692
24,24.0,1.66131845331494e-13,1.49012157535879e-33,1.810110332479232e-33,1.552887895447408e-13,1.392513570438358e-33,1.686758153537747e-33,1.74337208327626e-13,1.259078887504196e-47,7.856328402539027e-48,0.9339206337849787,0.9343463733353696,0.9343463733353696,0.9335469311869924,0.9339725003803208,0.9339725003803208
25,25.0,1.639974203180461e-13,2.159635271208553e-33,2.600868819219389e-33,1.52543782768771e-13,2.011758601641444e-33,2.418712448903085e-33,1.489859407842939e-13,8.089140136133479e-48,2.983726794612693e-48,0.9286152287841654,0.929038549798486,0.929038549798486,0.9282132861620686,0.9286364239457537,0.9286364239457537
26,26.0,1.872377255086402e-13,9.083011225530447e-34,1.273343639169014e-33,1.728743136150492e-13,8.40416037495633e-34,1.180262127005816e-33,1.621964578680973e-13,8.63940625824656e-48,1.309098039604788e-47,0.9231295764826376,0.9235503967928728,0.9235503967928728,0.9226987149340448,0.9231193388305855,0.9231193388305855
27,27.0,1.000330958072668e-13,9.70771769655027e-34,1.422013361472428e-33,9.178602602221893e-14,8.908888264372755e-34,1.304401911434448e-33,9.765222558796587e-14,1.001487176470606e-47,1.880997614222844e-47,0.9174672341294182,0.9178854731891697,0.9178854731891697,0.9170068224723551,0.9174248516476211,0.9174248516476211
28,28.0,9.095142811087455e-14,1.234669403709479e-33,1.92460016183911e-33,8.277835263348958e-14,1.125999298230172e-33,1.754441431216738e-33,9.053919496267352e-14,1.249659866540809e-47,5.453585866724751e-48,0.9116318579700416,0.9120474368996572,0.9120474368996572,0.9111413136150631,0.911556668923821,0.911556668923821
29,29.0,2.259785243119259e-13,1.155088465535697e-33,1.296091368334709e-33,2.045237652206916e-13,1.045173728435102e-33,1.176368939891155e-33,1.954798936057735e-13,1.243187731346429e-47,7.716897820763017e-48,0.9056271993174368,0.9060400409473478,0.9060400409473478,0.9051059890450326,0.9055185930746391,0.9055185930746391
30,30.0,1.187807337616074e-13,1.500431762230214e-33,9.772328729533396e-34,1.069560214978909e-13,1.348863615506725e-33,8.820510888273338e-34,1.068015408298374e-13,5.243746320668227e-48,7.431213634109748e-48,0.8994571005393939,0.8998671294516236,0.8998671294516236,0.8989047411816562,0.8993145182938762,0.8993145182938762
31,31.0,1.080195051724881e-13,1.974506137950875e-33,1.364314093266826e-33,9.658116791425937e-14,1.765030292555924e-33,1.221411856647247e-33,1.038080852535347e-13,1.024101269103432e-47,1.643985689855774e-47,0.8931254909686153,0.893532633536423,0.893532633536423,0.8925415499943478,0.8929484263652658,0.8929484263652658
32,32.0,8.969805910542325e-14,9.366569570633319e-34,8.400411872499763e-34,7.942526369711514e-14,8.296496321502247e-34,7.439014850154047e-34,8.559126823213633e-14,1.052466234848176e-47,1.755373347257061e-48,0.88663638274143,0.8870405671670581,0.8870405671670581,0.8860204787441051,0.8864243824020948,0.8864243824020948
33,33.0,1.125919799751904e-13,9.818481529415906e-34,1.233751514330345e-33,9.926387388854887e-14,8.638733996617566e-34,1.085315104183252e-33,9.531174437374696e-14,1.31173696305935e-47,4.41477592285639e-48,0.8799938665713288,0.8803950229218236,0.8803950229218236,0.8793456696595331,0.8797465305212552,0.8797465305212552
34,34.0,1.218620087756672e-13,9.571783431341926e-34,1.1064712357262e-33,1.062026591139822e-13,8.345434607523701e-34,9.66166321488122e-34,9.487070933402852e-14,7.724850391020954e-48,1.013782879021032e-47,0.8732021074635357,0.8736001677046136,0.8736001677046136,0.8725213395537563,0.8729190894581595,0.8729190894581595
35,35.0,1.016738462708389e-13,1.226657478598534e-33,9.869007464187371e-34,8.780937284255694e-14,1.06090843042971e-33,8.541981069884791e-34,8.533771461713405e-14,9.288622585637142e-48,1.289068048507422e-47,0.8662653403768774,0.8666602384048143,0.8666602384048143,0.8655517753887139,0.8659463481290127,0.8659463481290127
36,36.0,1.17549707619503e-13,1.193963520919959e-33,1.144217969510613e-33,1.009990822287143e-13,1.026129077887618e-33,9.828633673641434e-34,1.055577665252568e-13,2.914179626100302e-48,6.074841311061134e-48,0.859187865839258,0.8595795375107805,0.8595795375107805,0.8584413297933566,0.8588326611469665,0.8588326611469665
37,37.0,7.953580831117542e-14,8.02165674161742e-34,8.716567441663389e-34,6.776524195176645e-14,6.832386687413353e-34,7.450293545697033e-34,6.865390352987254e-14,5.303726845769249e-48,1.097295593689141e-47,0.8519740455230652,0.8523624286832229,0.8523624286832229,0.8511944165422974,0.8515824442987091,0.8515824442987091
38,38.0,7.675346706349456e-14,6.215362786082631e-34,6.058096617222197e-34,6.452230356642382e-14,5.21496048630513e-34,5.097683200584345e-34,6.482471787967639e-14,8.838928421472659e-48,5.817756588087665e-48,0.8446282977868471,0.8450133322948543,0.8450133322948543,0.843815506001466,0.844200169988043,0.844200169988043
39,39.0,7.045749377333953e-14,9.958366338726679e-34,8.572267790351467e-34,5.897695216353325e-14,8.308526156818305e-34,7.149001065867407e-34,5.416056899047606e-14,9.060718570849159e-48,9.455806026265214e-48,0.8371550931896113,0.837536720942644,0.837536720942644,0.8363091205473328,0.8366903626530209,0.8366903626530209
40,40.0,5.640277490863272e-14,5.412030122115665e-34,5.245549834286917e-34,4.651716959750094e-14,4.489355881817111e-34,4.331833850336336e-34,5.624973168098595e-14,6.430490244179738e-48,7.396052058581714e-48,0.8295589499840755,0.8299371149390116,0.8299371149390116,0.8286798299662351,0.8290575941631756,0.8290575941631756
41,41.0,8.06904291758145e-14,6.086881878584237e-34,7.546762043433439e-34,6.622646042495494e-14,4.989429612344257e-34,6.220117441327617e-34,6.089411791213262e-14,7.506798612125648e-48,1.004372016041623e-47,0.8218444295951894,0.8222190777882904,0.8222190777882904,0.8209322468403373,0.8213064792033752,0.8213064792033752
42,42.0,5.699136749551083e-14,6.952546021696099e-34,7.040669138707519e-34,4.633126642382573e-14,5.64981455190775e-34,5.730423939967133e-34,5.171429528530704e-14,7.337936159443978e-48,5.225590380601066e-48,0.8140161320902081,0.8143872116547345,0.8143872116547345,0.8130710219266891,0.8134416706507764,0.8134416706507764
