,ell,oTT,oEE,oBB,sTT,sEE,sBB,pTT,pEE,pBB,wTT,wEE,wBB,wTT_mkb,wEE_mkb,wBB_mkb
0,0.0,2.893113266971571e-11,0.0,0.0,2.89295060775274e-11,0.0,0.0,1.819700429617475e-11,0.0,0.0,1.0,1.0004558626664728,1.0004558626664728,1.0,1.0004558626664728,1.0004558626664728
1,1.0,1.641506380027995e-11,0.0,0.0,1.640266476017078e-11,0.0,0.0,1.61969901947649e-11,0.0,0.0,0.9997721465662103,1.000227905362809,1.000227905362809,0.9997707891864632,1.0002265473642833,1.0002265473642833
2,2.0,5.124182071374974e-12,1.643265184056606e-31,2.102607089168106e-31,5.11799093477734e-12,1.642216688850876e-31,2.101874923804522e-31,8.287169832959184e-12,7.159048130689924e-22,9.103626231217674e-23,0.9993165954383637,0.9997721465662107,0.9997721465662107,0.9993125256337563,0.9997680749063312,0.9997680749063312
3,3.0,5.150600307363552e-12,1.951398293701433e-32,4.300872602043439e-32,5.141744768595302e-12,1.949212811349927e-32,4.296095989040021e-32,4.564805303275881e-12,3.085089913826549e-22,-1.709506288516963e-22,0.9986336579185221,0.9990888977206502,0.9990888977206502,0.9986255253083783,0.9990807614031532,0.9990807614031532
4,4.0,4.777269920311003e-12,2.67740873947717e-32,3.773269054010996e-32,4.768597629233356e-12,2.672968373118395e-32,3.762720637491058e-32,4.129529918911031e-12,8.230353294826067e-22,1.639891656765859e-22,0.997723800516557,0.9981786255486637,0.9981786255486637,0.9977102617048066,0.9981650805650747,0.9981650805650747
5,5.0,1.755291244738279e-12,1.146060021510358e-32,3.619007650936368e-32,1.747713232587753e-12,1.142117777599966e-32,3.608031684290151e-32,1.919924426263101e-12,1.322326353625689e-22,1.026170173055716e-21,0.9965876444190725,0.9970419515200312,0.9970419515200312,0.9965673652999968,0.9970216631564621,0.9970216631564621
6,6.0,8.990008053015136e-13,3.234536851855154e-32,3.895435265041986e-32,8.956522280039819e-13,3.221518387166408e-32,3.879503416525828e-32,1.399624090485211e-12,2.583442675569414e-22,7.357123152528961e-22,0.9952259647826217,0.9956796511446704,0.9956796511446704,0.9951976228274124,0.9956512962694218,0.9956512962694218
7,7.0,1.373865655436949e-12,1.220352075040848e-32,1.248920064073e-32,1.366550267169965e-12,1.212560198396105e-32,1.241968192963443e-32,1.28422721454228e-12,8.663782478505085e-22,2.608950846230579e-21,0.9936396898523424,0.9940926530908715,0.9940926530908715,0.9936019763717789,0.9940549224181403,0.9940549224181403
8,8.0,1.192164757104977e-12,7.299964473003206e-33,8.648367313116704e-33,1.181521099229061e-12,7.254602083818488e-33,8.597830882542564e-33,1.312833663058807e-12,1.547212444999758e-21,9.212737192958117e-22,0.9918298999074117,0.9922820381302708,0.9922820381302708,0.9917815222860118,0.9922336384553193,0.9922336384553193
9,9.0,4.077946377009436e-13,8.35421657604788e-33,2.688826006439589e-33,4.028814888358767e-13,8.257602629901177e-33,2.652162414899394e-33,3.741687691167999e-13,7.267574328297142e-22,5.635480822725553e-22,0.9897978260349987,0.9902490379112439,0.9902490379112439,0.9897375099320633,0.9901886943124492,0.9901886943124492
10,10.0,7.253966401243245e-13,6.758342268351972e-33,2.672861385040193e-33,7.159192271197497e-13,6.677117239370185e-33,2.642386529950536e-33,6.652818939843143e-13,1.352360865748546e-21,9.09499952635175e-23,0.9875448487346649,0.9879950335626705,0.9879950335626705,0.9874713402477263,0.987921491565957,0.987921491565957
11,11.0,2.306571766562434e-13,7.680060035385117e-33,1.025289628629165e-32,2.275078450073728e-13,7.577917119418788e-33,1.009342287144255e-32,2.296861233439593e-13,4.743076299376807e-22,8.983945329243923e-23,0.9850724963554232,0.9855215541302806,0.9855215541302806,0.984984564141706,0.9854335818315502,0.9854335818315502
12,12.0,7.676161572580046e-13,3.926549522348245e-33,4.003032341306936e-33,7.539967298310508e-13,3.858880712768946e-33,3.938758095956148e-33,7.486629558241701e-13,9.668875949963368e-22,7.157255197408798e-22,0.9823824433679357,0.9828302748480653,0.9828302748480653,0.9822788807195298,0.9827266649893144,0.9827266649893144
13,13.0,4.528838625759895e-13,4.956155244152682e-33,3.884805231044877e-33,4.439785170362601e-13,4.851088561827169e-33,3.805238655323095e-33,4.493547639945487e-13,1.081593942403511e-22,3.735761310864443e-22,0.9794765084745826,0.9799230152474832,0.9799230152474832,0.9793561353431517,0.9798025872424356,0.9798025872424356
14,14.0,4.319015030607989e-13,3.507876639032069e-33,2.919311367506068e-33,4.211080443651603e-13,3.421346226885692e-33,2.853494602312428e-33,4.290743180430037e-13,5.530020787361706e-22,2.712045365851805e-22,0.9763566525603911,0.9768017371074557,0.9768017371074557,0.9762183175273673,0.9766633390126548,0.9766633390126548
15,15.0,4.78855127925315e-13,5.330491272236945e-33,3.538755383400743e-33,4.6691947798787e-13,5.197411310056765e-33,3.44131981761976e-33,4.640602025903228e-13,9.95155219783185e-22,1.038410859019317e-21,0.9730249764880508,0.9734685422483772,0.9734685422483772,0.9728675586763947,0.9733110526758177,0.9733110526758177
16,16.0,2.620090872075795e-13,4.058089936162693e-33,2.920511641701919e-33,2.543904625550978e-13,3.945266918145253e-33,2.826152390144934e-33,2.484160030652975e-13,2.933268577138524e-22,9.224133716003018e-22,0.969483718740493,0.96992567017362,0.96992567017362,0.969306129664246,0.969748000141143,0.969748000141143
17,17.0,2.866219047711576e-13,2.994524929126565e-33,3.560017495034923e-33,2.765577290883747e-13,2.896705899229534e-33,3.444789905658187e-33,2.62346667222924e-13,9.927237137293999e-22,6.510395816932529e-22,0.9657352529147302,0.9661754955622305,0.9661754955622305,0.9655364382627394,0.9659765902780625,0.9659765902780625
18,18.0,1.843220535201976e-13,2.039712283411317e-33,1.864911202819659e-33,1.771497757638261e-13,1.962370671118792e-33,1.793725329955096e-33,2.012690835616187e-13,6.217624906885028e-22,9.716887693009603e-22,0.9617820850708891,0.9622205256167552,0.9622205256167552,0.9615610264212462,0.9619993661947268,0.9619993661947268
19,19.0,1.067709307069675e-13,2.434219138873786e-33,2.393116690842786e-33,1.023760456844012e-13,2.332637227041252e-33,2.291472292015e-33,1.350905940570888e-13,7.225790134486612e-22,1.477420308447182e-21,0.9576268509405764,0.9580633972703321,0.9580633972703321,0.957382567402483,0.9578190023724935,0.9578190023724935
20,20.0,3.374420840421065e-13,1.554079801446458e-33,1.462211973410902e-33,3.220770709234071e-13,1.483297737673572e-33,1.396605598612224e-33,2.696111928294077e-13,3.872158026754207e-22,1.737965779208812e-22,0.9532723129989324,0.9537068742574107,0.9537068742574107,0.9530038627788805,0.9534383016609258,0.9534383016609258
21,21.0,1.519889218949676e-13,2.481628126478828e-33,1.959108329140686e-33,1.443676568042662e-13,2.360487925617661e-33,1.858594845923114e-33,1.488371401829628e-13,8.312481612786688e-22,6.495301272467506e-22,0.9487213574049238,0.9491538440526499,0.9491538440526499,0.948427839294268,0.9488601921380455,0.9488601921380455
22,22.0,1.721776729976431e-13,2.40251879771787e-33,2.092157448849319e-33,1.624099331438521e-13,2.271392607899623e-33,1.970864020570651e-33,1.632176155762916e-13,6.108702979971275e-22,9.90750051836171e-22,0.9439769908146188,0.9444073146827405,0.9444073146827405,0.9436575455957975,0.94408772384077,0.94408772384077
23,23.0,2.296427337428548e-13,1.838387616323072e-33,1.459905292197661e-33,2.156168880629488e-13,1.728775081250916e-33,1.370894556587188e-33,2.142819459937986e-13,7.549708110050696e-22,8.460445012888759e-22,0.9390423370723665,0.9394704114160752,0.9394704114160752,0.9386961488412509,0.9391240653706692,0.9391240653706692
24,24.0,1.661318453314941e-13,1.490121575358753e-33,1.810110332479188e-33,1.552887895447408e-13,1.392513570438339e-33,1.686758153537728e-33,1.743384666139416e-13,2.61085013066869e-22,1.130963999350973e-21,0.9339206337849787,0.9343463733353696,0.9343463733353696,0.9335469311869924,0.9339725003803208,0.9339725003803208
25,25.0,1.639974203180461e-13,2.159635271208591e-33,2.600868819219428e-33,1.52543782768771e-13,2.011758601641451e-33,2.418712448903089e-33,1.489849965442802e-13,6.026166466798977e-22,1.361570842648201e-21,0.9286152287841654,0.929038549798486,0.929038549798486,0.9282132861620686,0.9286364239457537,0.9286364239457537
26,26.0,1.8723772550864e-13,9.08301122553011e-34,1.273343639168982e-33,1.728743136150492e-13,8.404160374956226e-34,1.180262127005804e-33,1.621957503438671e-13,1.364673415003784e-21,7.312385340967199e-22,0.9231295764826376,0.9235503967928728,0.9235503967928728,0.9226987149340448,0.9231193388305855,0.9231193388305855
27,27.0,1.000330958072667e-13,9.707717696550697e-34,1.422013361472471e-33,9.178602602221893e-14,8.908888264372837e-34,1.304401911434458e-33,9.765220967610444e-14,5.76424810660458e-22,7.749766361405335e-22,0.9174672341294182,0.9178854731891697,0.9178854731891697,0.9170068224723551,0.9174248516476211,0.9174248516476211
28,28.0,9.095142811087457e-14,1.234669403709452e-33,1.924600161839083e-33,8.277835263348958e-14,1.125999298230162e-33,1.75444143121673e-33,9.053942177411903e-14,6.633547139463974e-22,6.046926821266213e-22,0.9116318579700416,0.9120474368996572,0.9120474368996572,0.9111413136150631,0.911556668923821,0.911556668923821
29,29.0,2.25978524311926e-13,1.155088465535731e-33,1.296091368334744e-33,2.045237652206916e-13,1.045173728435117e-33,1.176368939891166e-33,1.954801853905524e-13,6.477481000711616e-22,4.734364147755595e-22,0.9056271993174368,0.9060400409473478,0.9060400409473478,0.9051059890450326,0.9055185930746391,0.9055185930746391
30,30.0,1.187807337616075e-13,1.500431762230187e-33,9.77232872953317e-34,1.069560214978909e-13,1.348863615506715e-33,8.820510888273244e-34,1.068053473433264e-13,7.0576417679338e-22,4.820374401003526e-22,0.8994571005393939,0.8998671294516236,0.8998671294516236,0.8989047411816562,0.8993145182938762,0.8993145182938762
31,31.0,1.080195051724882e-13,1.974506137950902e-33,1.364314093266852e-33,9.658116791425937e-14,1.765030292555929e-33,1.221411856647251e-33,1.038061869235971e-13,7.017239158880003e-22,6.696844706963787e-22,0.8931254909686153,0.893532633536423,0.893532633536423,0.8925415499943478,0.8929484263652658,0.8929484263652658
32,32.0,8.969805910542321e-14,9.366569570633053e-34,8.400411872499469e-34,7.942526369711514e-14,8.29649632150217e-34,7.439014850153948e-34,8.559350216774995e-14,2.430641356005763e-22,6.8864558265534e-22,0.88663638274143,0.8870405671670581,0.8870405671670581,0.8860204787441051,0.8864243824020948,0.8864243824020948
33,33.0,1.125919799751903e-13,9.818481529416225e-34,1.233751514330372e-33,9.926387388854887e-14,8.63873399661759e-34,1.085315104183255e-33,9.53124389110959e-14,1.107431974337463e-21,5.690203029805558e-22,0.8799938665713288,0.8803950229218236,0.8803950229218236,0.8793456696595331,0.8797465305212552,0.8797465305212552
34,34.0,1.218620087756671e-13,9.571783431341737e-34,1.106471235726178e-33,1.062026591139822e-13,8.345434607523646e-34,9.661663214881163e-34,9.486925647573744e-14,7.769281675811694e-22,8.178076059921029e-22,0.8732021074635357,0.8736001677046136,0.8736001677046136,0.8725213395537563,0.8729190894581595,0.8729190894581595
35,35.0,1.016738462708389e-13,1.226657478598573e-33,9.869007464187766e-34,8.780937284255694e-14,1.060908430429717e-33,8.541981069884853e-34,8.533456124929795e-14,1.630438851199421e-22,5.369565363048311e-22,0.8662653403768774,0.8666602384048143,0.8666602384048143,0.8655517753887139,0.8659463481290127,0.8659463481290127
36,36.0,1.17549707619503e-13,1.193963520919939e-33,1.144217969510592e-33,1.009990822287143e-13,1.02612907788761e-33,9.828633673641336e-34,1.05557937722382e-13,9.996189692725033e-22,6.125838553842592e-22,0.859187865839258,0.8595795375107805,0.8595795375107805,0.8584413297933566,0.8588326611469665,0.8588326611469665
37,37.0,7.953580831117539e-14,8.021656741617709e-34,8.716567441663657e-34,6.776524195176645e-14,6.832386687413324e-34,7.450293545696998e-34,6.865371239295873e-14,1.043589320687937e-21,8.225278130974396e-22,0.8519740455230652,0.8523624286832229,0.8523624286832229,0.8511944165422974,0.8515824442987091,0.8515824442987091
38,38.0,7.675346706349453e-14,6.215362786082497e-34,6.058096617222022e-34,6.452230356642382e-14,5.214960486305101e-34,5.097683200584317e-34,6.48250605776458e-14,9.460324847299698e-22,8.719518954008845e-22,0.8446282977868471,0.8450133322948543,0.8450133322948543,0.843815506001466,0.844200169988043,0.844200169988043
39,39.0,7.045749377333958e-14,9.958366338726939e-34,8.572267790351701e-34,5.897695216353325e-14,8.308526156818239e-34,7.149001065867358e-34,5.41598822807841e-14,7.720984865072818e-22,8.442043462575715e-22,0.8371550931896113,0.837536720942644,0.837536720942644,0.8363091205473328,0.8366903626530209,0.8366903626530209
40,40.0,5.64027749086328e-14,5.41203012211552e-34,5.245549834286781e-34,4.651716959750094e-14,4.489355881817041e-34,4.331833850336277e-34,5.624783320901562e-14,7.338280014720949e-22,6.761580793992618e-22,0.8295589499840755,0.8299371149390116,0.8299371149390116,0.8286798299662351,0.8290575941631756,0.8290575941631756
41,41.0,8.06904291758144e-14,6.086881878584444e-34,7.546762043433636e-34,6.622646042495494e-14,4.989429612344198e-34,6.22011744132757e-34,6.089392540835073e-14,1.164127467547441e-21,8.780038189605703e-22,0.8218444295951894,0.8222190777882904,0.8222190777882904,0.8209322468403373,0.8213064792033752,0.8213064792033752
42,42.0,5.699136749551073e-14,6.952546021695907e-34,7.040669138707334e-34,4.633126642382573e-14,5.649814551907777e-34,5.730423939967172e-34,5.171350382609728e-14,8.620966187568162e-22,6.289993910428862e-22,0.8140161320902081,0.8143872116547345,0.8143872116547345,0.8130710219266891,0.8134416706507764,0.8134416706507764
43,43.0,9.003783130381702e-14,7.70386816867809e-34,8.746384818685393e-34,7.291873426136461e-14,6.237675837974963e-34,7.042653034236384e-34,6.988356306878044e-14,5.715832285581275e-22,7.54761655424746e-22,0.8060786916465604,0.8064461528283213,0.8064461528283213,0.8051008395358342,0.8054678549513244,0.8054678549513244
44,44.0,8.821119638588783e-14,8.369465483070783e-34,8.623880124666518e-34,7.018388353289268e-14,6.703899066530059e-34,6.88838028996939e-34,7.486436133949872e-14,8.168833326719974e-22,4.7250439841027e-22,0.7980367720236974,0.7984005671945353,0.7984005671945353,0.7970264129163228,0.7973897475021641,0.7973897475021641
45,45.0,9.152789644096118e-14,9.470451717254739e-34,8.146355458968081e-34,7.249555548915493e-14,7.512930671630867e-34,6.440136430901928e-34,6.421761921226042e-14,4.083776079900175e-22,-3.212440937003082e-23,0.7898950620450437,0.7902551457142611,0.7902551457142611,0.7888524796514468,0.7892120880462743,0.7892120880462743
46,46.0,7.912829509883712e-14,1.018214481620303e-33,7.467086363630282e-34,6.20113249443462e-14,7.97227735950961e-34,5.832935971982889e-34,6.629367070348777e-14,6.019211163270005e-22,9.678035103482916e-22,0.7816582710960978,0.78201459991983,0.78201459991983,0.7805837970744061,0.7809396360855457,0.7809396360855457
47,47.0,6.935310912611623e-14,7.072063980755962e-34,6.755703866925915e-34,5.370301296495007e-14,5.467718735365236e-34,5.232184265170636e-34,4.488009543511608e-14,1.047057591046964e-21,1.026488108958081e-21,0.7733311246446465,0.7736836574331933,0.7736836574331933,0.7722251377080347,0.7725771663184274,0.7725771663184274
48,48.0,5.451906758905406e-14,5.263298479844419e-34,5.03778976150407e-34,4.152480056561872e-14,4.029020974016014e-34,3.861605859304365e-34,4.754559913026572e-14,9.177778958350483e-22,4.713646142561864e-22,0.7649183597889563,0.7652670575120837,0.7652670575120837,0.7637812847351203,0.7641294641081816,0.7641294641081816
49,49.0,6.088488808008853e-14,6.387698003317407e-34,8.081810221165921e-34,4.61316569172476e-14,4.830095360464833e-34,6.102215723858811e-34,4.683104987164949e-14,6.75048897403941e-22,8.162949102699576e-22,0.7564247208397064,0.7567695466299342,0.7567695466299342,0.7552570275052126,0.7556013209876433,0.7556013209876433
50,50.0,8.157922338532572e-14,6.573886432044725e-34,8.86770902408478e-34,6.082501730011456e-14,4.910603928870439e-34,6.631793874339818e-34,5.950971719744452e-14,1.051378337299658e-21,4.61552600048635e-22,0.7478549549413083,0.7481958740952025,0.7481958740952025,0.7466571570837232,0.7469975302062922,0.7469975302062922
51,51.0,8.042447693703433e-14,7.956254180954905e-34,7.737364385566979e-34,5.965308285811555e-14,5.898580705735494e-34,5.747102780434804e-34,5.373492413043778e-14,1.0197001799861e-21,1.115017649199204e-21,0.739213807738141,0.73955078771563,0.73955078771563,0.7379864618489655,0.7383228823252848,0.7383228823252848
52,52.0,7.499885703655856e-14,6.756754243255708e-34,6.506954622304385e-34,5.496748536778737e-14,4.950560688476602e-34,4.770536301870757e-34,5.9149079859963e-14,7.898108657173151e-22,8.73255606938495e-22,0.7305060190910879,0.7308390295128251,0.7308390295128251,0.729249723142652,0.7295821608659683,0.7295821608659683
53,53.0,6.63668714553123e-14,7.140461328383713e-34,6.465595207282098e-34,4.784407998435788e-14,5.159623127676907e-34,4.674761218961591e-34,4.844770290682212e-14,6.047403861271622e-22,9.566258107501998e-22,0.7217363188496321,0.722065331492433,0.722065331492433,0.7204517109792168,0.7207801380172486,0.7207801380172486
54,54.0,4.991810076374737e-14,4.881249698654658e-34,5.397245917841427e-34,3.570038439061357e-14,3.479493921437452e-34,3.850861589174509e-34,3.46428985610493e-14,7.111117598289279e-22,8.418959491894376e-22,0.7129094226846133,0.7132344114749918,0.7132344114749918,0.7115971798191718,0.7119215704070186,0.7119215704070186
55,55.0,6.371115247746858e-14,5.939335260676232e-34,5.79929304429422e-34,4.477258256505223e-14,4.176495445709463e-34,4.075328344024891e-34,4.614339140840682e-14,7.465741211179415e-22,5.773521528328633e-22,0.7040300279865936,0.7043509689924285,0.7043509689924285,0.7026908644115332,0.7030111949426898,0.7030111949426898
56,56.0,4.510027759805643e-14,5.349163342219806e-34,5.142859433035207e-34,3.134188478397214e-14,3.716430993089351e-34,3.581271410403865e-34,3.080710548353832e-14,1.150136286296927e-21,6.273453117072136e-22,0.6951028098346176,0.6954196812549815,0.6954196812549815,0.6937374757102026,0.6940537247257119,0.6940537247257119
57,57.0,6.100877683032518e-14,6.846395438617973e-34,6.146221035892774e-34,4.186939569895992e-14,4.698971865985798e-34,4.221248119768742e-34,3.817481721359313e-14,5.971348962183445e-22,1.041588690571976e-21,0.686132417039983,0.686445199193168,0.686445199193168,0.6847416968689793,0.6850538450447591,0.6850538450447591
58,58.0,5.69778314142824e-14,6.494167202328432e-34,5.195472849463062e-34,3.882269537977026e-14,4.402248262890109e-34,3.534284169237817e-34,3.877790814513653e-14,6.177683338103043e-22,7.151400942906084e-22,0.6771234682694625,0.677432143579239,0.677432143579239,0.6757081793197175,0.6760162094520995,0.6760162094520995
59,59.0,5.087302257616269e-14,5.636629460407904e-34,4.831899148768603e-34,3.409871018972552e-14,3.78956243485315e-34,3.239025947008359e-34,3.326428174539882e-14,9.868995917589628e-22,3.670471546389804e-22,0.6680805482522351,0.6683851012323798,0.6683851012323798,0.6666415389379456,0.6669454359274675,0.6669454359274675
60,60.0,5.368646330614049e-14,5.456064874611674e-34,5.287964862929225e-34,3.544689719936757e-14,3.613244414150091e-34,3.486085381772596e-34,3.433104916239217e-14,6.358849414307705e-22,8.57983581081376e-22,0.659008204074595,0.6593086213117318,0.6593086213117318,0.6575463523000491,0.6578461031335381,0.6578461031335381
61,61.0,5.088994491364973e-14,3.615874025217018e-34,4.156476411399014e-34,3.299347501461851e-14,2.352195605095673e-34,2.70634225333942e-34,3.072942880788415e-14,7.527680292118419e-22,8.717662599436514e-22,0.6499109415663239,0.6502072117011161,0.6502072117011161,0.6484271530359533,0.6487227467669495,0.6487227467669495
62,62.0,3.341894908507444e-14,4.080799490749969e-34,3.964229127360043e-34,2.144142422442581e-14,2.625405906777514e-34,2.544294516516066e-34,2.201072469455695e-14,7.409392614434071e-22,5.364874392794609e-22,0.6407932217824001,0.6410853354891394,0.6410853354891394,0.6392884282809954,0.6395798560085567,0.6395798560085567
63,63.0,3.632441172639373e-14,3.630625915502939e-34,3.609579342840637e-34,2.292776387204931e-14,2.295127254647312e-34,2.275641739955513e-34,2.501522183018704e-14,7.32255617183817e-22,8.424872127629027e-22,0.6316594575835365,0.6319474075481731,0.6319474075481731,0.6301346152304949,0.6304218700764306,0.6304218700764306
64,64.0,4.059131617820575e-14,3.726237261520498e-34,4.361596830252951e-34,2.533761990110426e-14,2.321079375053587e-34,2.716186729675928e-34,2.536541431413399e-14,8.16494937076739e-22,6.458549330816197e-22,0.6225140103188169,0.6227977912154775,0.6227977912154775,0.6209700978002975,0.6212531748848806,0.6212531748848806
65,65.0,5.3284295199e-14,3.693541976612895e-34,5.608736388104432e-34,3.263477499301556e-14,2.264330260380338e-34,3.445593451275232e-34,2.961367951627453e-14,7.412981530763962e-22,5.465338332635963e-22,0.6133611866135058,0.6136407950795463,0.6136407950795463,0.6117992033963722,0.6120780998125783,0.6120780998125783
