,ell,oTT,oEE,oBB,sTT,sEE,sBB,pTT,pEE,pBB,wTT,wEE,wBB,wTT_mkb,wEE_mkb,wBB_mkb
0,0.0,2.893113266549994e-11,0.0,0.0,2.892950607244756e-11,0.0,0.0,1.816218036915924e-11,0.0,0.0,1.0,1.0004558626664728,1.0004558626664728,1.0,1.0004558626664728,1.0004558626664728
1,1.0,1.64150638006261e-11,0.0,0.0,1.64026647602223e-11,0.0,0.0,1.61698084059987e-11,0.0,0.0,0.9997721465662103,1.000227905362809,1.000227905362809,0.9997707891864632,1.0002265473642833,1.0002265473642833
2,2.0,5.124182071384938e-12,1.737590845496512e-16,2.135657738288662e-20,5.117990934616552e-12,1.736736150682812e-16,-1.641213375088528e-21,8.27356408872922e-12,1.335530098197115e-16,4.382327419853003e-17,0.9993165954383637,0.9997721465662107,0.9997721465662107,0.9993125256337563,0.9997680749063312,0.9997680749063312
3,3.0,5.150600307074597e-12,2.253925635516882e-16,6.389270945496315e-22,5.14174476864077e-12,2.25301195809691e-16,-7.816616412319398e-22,4.558856657237027e-12,2.150744149139643e-16,2.692582717338141e-17,0.9986336579185221,0.9990888977206502,0.9990888977206502,0.9986255253083783,0.9990807614031532,0.9990807614031532
4,4.0,4.777269920397799e-12,3.539763162591384e-16,-1.442312124843917e-20,4.768597629179311e-12,3.533414693010237e-16,3.353818044010129e-21,4.122400645088234e-12,2.427165126159491e-16,3.016843675290095e-17,0.997723800516557,0.9981786255486637,0.9981786255486637,0.9977102617048066,0.9981650805650747,0.9981650805650747
5,5.0,1.755291244717574e-12,1.35032580803947e-17,-1.879664867603166e-22,1.747713232633438e-12,1.343797033554766e-17,2.815867961756553e-22,1.917377697295051e-12,5.592945805036657e-17,-3.196684755384197e-18,0.9965876444190725,0.9970419515200312,0.9970419515200312,0.9965673652999968,0.9970216631564621,0.9970216631564621
6,6.0,8.990008053063094e-13,2.573141308811807e-18,2.795367665562224e-21,8.956522281019356e-13,2.517297671434408e-18,-5.11673098697501e-22,1.397832964718067e-12,1.895648847327949e-17,-4.408659480885691e-19,0.9952259647826217,0.9956796511446704,0.9956796511446704,0.9951976228274124,0.9956512962694218,0.9956512962694218
7,7.0,1.373865655468469e-12,3.508560779078547e-18,-2.787113792770456e-22,1.366550267171557e-12,3.498292928924699e-18,-2.809481947332644e-23,1.282545845485428e-12,1.296072510562526e-18,3.098758859160075e-18,0.9936396898523424,0.9940926530908715,0.9940926530908715,0.9936019763717789,0.9940549224181403,0.9940549224181403
8,8.0,1.19216475723115e-12,8.394897021697e-18,1.189443315427529e-21,1.181521099190062e-12,8.31668619827962e-18,1.693166981340366e-22,1.310441671546363e-12,9.869895516144761e-18,1.66521749751559e-19,0.9918298999074117,0.9922820381302708,0.9922820381302708,0.9917815222860118,0.9922336384553193,0.9922336384553193
9,9.0,4.077946376910218e-13,4.252608568696748e-18,-1.279237891630999e-22,4.028814888534152e-13,4.208249416682485e-18,-3.491376555436587e-22,3.740087361734114e-13,2.865535723470072e-18,-3.995880035437671e-19,0.9897978260349987,0.9902490379112439,0.9902490379112439,0.9897375099320633,0.9901886943124492,0.9901886943124492
