,ell,oTT,oEE,oBB,sTT,sEE,sBB,pTT,pEE,pBB,wTT,wEE,wBB,wTT_mkb,wEE_mkb,wBB_mkb
0,0.0,2.893113266549991e-11,0.0,0.0,2.892950607244758e-11,0.0,0.0,1.816218008589121e-11,0.0,0.0,1.0,1.0004558626664728,1.0004558626664728,1.0,1.0004558626664728,1.0004558626664728
1,1.0,1.641506380062609e-11,0.0,0.0,1.640266476022229e-11,0.0,0.0,1.616980793675983e-11,0.0,0.0,0.9997721465662103,1.000227905362809,1.000227905362809,0.9997707891864632,1.0002265473642833,1.0002265473642833
2,2.0,5.124182071384937e-12,2.503779022971986e-32,2.503779022971985e-32,5.117990934616551e-12,2.503348296329746e-32,2.503348296323111e-32,8.27356472144051e-12,6.694668869150699e-21,1.114297856757326e-22,0.9993165954383637,0.9997721465662107,0.9997721465662107,0.9993125256337563,0.9997680749063312,0.9997680749063312
3,3.0,5.150600307074597e-12,-2.170692507932693e-38,-2.170692508554619e-38,5.14174476864077e-12,-2.17029376268318e-38,-2.17029376310073e-38,4.558857415237267e-12,3.290886117964275e-21,3.893424118223348e-22,0.9986336579185221,0.9990888977206502,0.9990888977206502,0.9986255253083783,0.9990807614031532,0.9990807614031532
4,4.0,4.777269920397798e-12,-2.283708223841956e-34,-2.283708246711262e-34,4.768597629179312e-12,-2.287169034238903e-34,-2.287169048478307e-34,4.122400958512527e-12,1.757598121893575e-21,1.534463823457122e-21,0.997723800516557,0.9981786255486637,0.9981786255486637,0.9977102617048066,0.9981650805650747,0.9981650805650747
5,5.0,1.755291244717575e-12,3.583877863897008e-39,3.58721006260466e-39,1.747713232633438e-12,3.588385494617653e-39,3.590733235934528e-39,1.917377353474726e-12,1.621443234677099e-21,1.83083273179567e-21,0.9965876444190725,0.9970419515200312,0.9970419515200312,0.9965673652999968,0.9970216631564621,0.9970216631564621
6,6.0,8.990008053063093e-13,2.287075505921434e-34,2.287075587267394e-34,8.956522281019355e-13,2.280444504444843e-34,2.280444549777145e-34,1.397833296778474e-12,3.399260948442781e-21,2.014331172547904e-21,0.9952259647826217,0.9956796511446704,0.9956796511446704,0.9951976228274124,0.9956512962694218,0.9956512962694218
7,7.0,1.373865655468469e-12,-4.667368948498832e-39,-4.663255398543196e-39,1.366550267171556e-12,-4.669503207775813e-39,-4.667414016226892e-39,1.282546020883604e-12,2.928970686251928e-21,1.322677369507172e-21,0.9936396898523424,0.9940926530908715,0.9940926530908715,0.9936019763717789,0.9940549224181403,0.9940549224181403
8,8.0,1.19216475723115e-12,1.803528259373686e-35,1.803528390713047e-35,1.181521099190062e-12,1.791302203168583e-35,1.791302270227581e-35,1.310441956837956e-12,6.58377673961333e-21,7.253876721406933e-22,0.9918298999074117,0.9922820381302708,0.9922820381302708,0.9917815222860118,0.9922336384553193,0.9922336384553193
9,9.0,4.077946376910223e-13,-1.680601033024096e-40,-1.70918455832012e-40,4.028814888534154e-13,-1.715071961709921e-40,-1.729110487018082e-40,3.740089527252613e-13,1.906038061115355e-21,1.585820484687238e-21,0.9897978260349987,0.9902490379112439,0.9902490379112439,0.9897375099320633,0.9901886943124492,0.9901886943124492
10,10.0,7.253966401441271e-13,-2.351841776238455e-35,-2.351840940083698e-35,7.159192271291734e-13,-2.338166372115478e-35,-2.338165929401315e-35,6.649026048033173e-13,1.753454934207691e-21,9.995316325810855e-22,0.9875448487346649,0.9879950335626705,0.9879950335626705,0.9874713402477263,0.987921491565957,0.987921491565957
11,11.0,2.306571766241817e-13,4.241920427465889e-40,4.324201693322786e-40,2.275078450338244e-13,4.191076245644757e-40,4.232858756796835e-40,2.291231886728332e-13,3.575194893526282e-21,2.31325439563726e-21,0.9850724963554232,0.9855215541302806,0.9855215541302806,0.984984564141706,0.9854335818315502,0.9854335818315502
12,12.0,7.676161573009839e-13,1.555169533587544e-36,1.555160790804648e-36,7.539967297945097e-13,1.549651848747349e-36,1.54964730341081e-36,7.484628810361086e-13,1.053154444354756e-20,1.027820521464248e-22,0.9823824433679357,0.9828302748480653,0.9828302748480653,0.9822788807195298,0.9827266649893144,0.9827266649893144
13,13.0,4.528838625451689e-13,3.308529958782469e-40,3.238377884012108e-40,4.439785170328119e-13,3.294491874396477e-40,3.256914286716743e-40,4.491319159675977e-13,8.327701107628064e-21,8.322254097242664e-22,0.9794765084745826,0.9799230152474832,0.9799230152474832,0.9793561353431517,0.9798025872424356,0.9798025872424356
14,14.0,4.319015030416379e-13,-1.240544580378856e-35,-1.240544761702388e-35,4.211080443722593e-13,-1.225187494729663e-35,-1.22518758523283e-35,4.286280534736363e-13,1.173595046291699e-20,7.512665640145962e-22,0.9763566525603911,0.9768017371074557,0.9768017371074557,0.9762183175273673,0.9766633390126548,0.9766633390126548
15,15.0,4.788551279625784e-13,1.253511380918857e-39,1.252782502269771e-39,4.669194780367385e-13,1.254336938359526e-39,1.253929983433274e-39,4.646721062654312e-13,8.302923706149257e-21,5.644448941224261e-21,0.9730249764880508,0.9734685422483772,0.9734685422483772,0.9728675586763947,0.9733110526758177,0.9733110526758177
16,16.0,2.620090872153301e-13,-2.132723553135032e-36,-2.132725231716594e-36,2.543904625477225e-13,-2.095482608782502e-36,-2.095483504885913e-36,2.483737787381976e-13,6.098020764647538e-21,4.289807120323121e-21,0.969483718740493,0.96992567017362,0.96992567017362,0.969306129664246,0.969748000141143,0.969748000141143
17,17.0,2.866219047957844e-13,1.920059493015023e-41,1.618516593519054e-41,2.765577290789394e-13,2.018368086202267e-41,1.8623313672951e-41,2.623134554549713e-13,1.247572715881888e-20,2.840539120154501e-21,0.9657352529147302,0.9661754955622305,0.9661754955622305,0.9655364382627394,0.9659765902780625,0.9659765902780625
18,18.0,1.843220535242427e-13,2.247523668378495e-36,2.247524779120821e-36,1.771497757427995e-13,2.205753608213929e-36,2.205754185541358e-36,2.011496674819314e-13,9.024917257890085e-21,3.419481155661511e-21,0.9617820850708891,0.9622205256167552,0.9622205256167552,0.9615610264212462,0.9619993661947268,0.9619993661947268
19,19.0,1.067709307161775e-13,-2.188352741246067e-40,-2.156963733142933e-40,1.023760457159659e-13,-2.162014079033032e-40,-2.145555862017911e-40,1.35035620725149e-13,9.555961258362117e-21,3.611406624713845e-21,0.9576268509405764,0.9580633972703321,0.9580633972703321,0.957382567402483,0.9578190023724935,0.9578190023724935
20,20.0,3.374420840564358e-13,-1.383487528837557e-37,-1.383505340630776e-37,3.220770709433125e-13,-1.357340470468051e-37,-1.357349614396085e-37,2.699212683817914e-13,2.2672414919313e-20,5.155375238025151e-21,0.9532723129989324,0.9537068742574107,0.9537068742574107,0.9530038627788805,0.9534383016609258,0.9534383016609258
21,21.0,1.519889218708686e-13,-1.28576750635794e-40,-1.289152087890666e-40,1.44367656803757e-13,-1.297472929518329e-40,-1.299229419453382e-40,1.489897785365681e-13,1.960598770343163e-20,3.857426714900177e-21,0.9487213574049238,0.9491538440526499,0.9491538440526499,0.948427839294268,0.9488601921380455,0.9488601921380455
22,22.0,1.721776730159788e-13,1.434984338342556e-36,1.434982697626128e-36,1.624099331526618e-13,1.393416575300063e-36,1.393415730566839e-36,1.632999386298526e-13,1.98342941137398e-20,4.624968867919592e-21,0.9439769908146188,0.9444073146827405,0.9444073146827405,0.9436575455957975,0.94408772384077,0.94408772384077
23,23.0,2.29642733722728e-13,-3.74071714155136e-40,-3.793973762507934e-40,2.156168880451946e-13,-3.745060193786869e-40,-3.772299893067215e-40,2.145108594964568e-13,2.933986935245985e-20,4.313848628045592e-21,0.9390423370723665,0.9394704114160752,0.9394704114160752,0.9386961488412509,0.9391240653706692,0.9391240653706692
24,24.0,1.661318453277393e-13,4.547242111327559e-37,4.547265310044888e-37,1.552887895434021e-13,4.387394168032755e-37,4.387405958566045e-37,1.745820314776965e-13,2.902945146975944e-20,5.488616073987531e-21,0.9339206337849787,0.9343463733353696,0.9343463733353696,0.9335469311869924,0.9339725003803208,0.9339725003803208
25,25.0,1.639974202977158e-13,-3.634130831044875e-42,8.125371140412368e-43,1.525437827554108e-13,-2.44036246537224e-42,-1.704582179848235e-43,1.49129596584075e-13,2.930902511063778e-20,3.182739946193934e-21,0.9286152287841654,0.929038549798486,0.929038549798486,0.9282132861620686,0.9286364239457537,0.9286364239457537
26,26.0,1.872377255043576e-13,-4.167741814997994e-37,-4.167746072843735e-37,1.728743136303743e-13,-4.008348172302435e-37,-4.008350310633072e-37,1.624993635067563e-13,3.141172183422662e-20,7.24984467826518e-21,0.9231295764826376,0.9235503967928728,0.9235503967928728,0.9226987149340448,0.9231193388305855,0.9231193388305855
27,27.0,1.000330958120191e-13,7.537923333599229e-41,7.528851627061694e-41,9.178602602587537e-14,7.506206755451091e-41,7.501698167182094e-41,9.795904090292256e-14,2.515139237353441e-20,8.855920197099946e-21,0.9174672341294182,0.9178854731891697,0.9178854731891697,0.9170068224723551,0.9174248516476211,0.9174248516476211
28,28.0,9.095142812739522e-14,1.365739594105427e-37,1.365736032113941e-37,8.277835262662524e-14,1.303824650639299e-37,1.303822872779197e-37,9.070415242618096e-14,3.450356072726598e-20,8.773489775262791e-21,0.9116318579700416,0.9120474368996572,0.9120474368996572,0.9111413136150631,0.911556668923821,0.911556668923821
29,29.0,2.259785243070474e-13,-1.488828712539472e-41,-1.486072104381051e-41,2.045237652090536e-13,-1.536366791141585e-41,-1.535282916917594e-41,1.960515289367973e-13,6.990976498128438e-20,8.328620749619795e-21,0.9056271993174368,0.9060400409473478,0.9060400409473478,0.9051059890450326,0.9055185930746391,0.9055185930746391
30,30.0,1.187807337624819e-13,-1.76900470305298e-37,-1.769007931635351e-37,1.06956021500058e-13,-1.677094161184595e-37,-1.677095837556125e-37,1.070884378788115e-13,5.00269629682845e-20,8.773404222969402e-21,0.8994571005393939,0.8998671294516236,0.8998671294516236,0.8989047411816562,0.8993145182938762,0.8993145182938762
31,31.0,1.08019505175665e-13,1.014563204554959e-40,9.81125893244382e-41,9.658116790822702e-14,1.003076133835218e-40,9.862834747003316e-41,1.042288363738144e-13,4.766270152962827e-20,6.592487107778982e-21,0.8931254909686153,0.893532633536423,0.893532633536423,0.8925415499943478,0.8929484263652658,0.8929484263652658
32,32.0,8.969805910077244e-14,-1.008538323788047e-37,-1.0085231055999e-37,7.942526368934015e-14,-9.485668963732268e-38,-9.485592784520102e-38,8.593552770344654e-14,4.63586727115439e-20,1.142920511045383e-20,0.88663638274143,0.8870405671670581,0.8870405671670581,0.8860204787441051,0.8864243824020948,0.8864243824020948
33,33.0,1.125919799834654e-13,1.664530605342487e-41,1.796865227734832e-41,9.926387389267275e-14,1.713271537329166e-41,1.779490650968656e-41,9.577088995881246e-14,4.81739036203602e-20,4.536967214908161e-21,0.8799938665713288,0.8803950229218236,0.8803950229218236,0.8793456696595331,0.8797465305212552,0.8797465305212552
