,ell,oTT,oEE,oBB,sTT,sEE,sBB,pTT,pEE,pBB,wTT,wEE,wBB,wTT_mkb,wEE_mkb,wBB_mkb
0,0.0,2.893113266971572e-11,0.0,0.0,2.892900680956139e-11,0.0,0.0,1.815525867113634e-11,0.0,0.0,1.0,1.0004945056625623,1.0004945056625623,1.0,1.0004945056625623,1.0004945056625623
1,1.0,1.641506380027997e-11,0.0,0.0,1.640191703265434e-11,0.0,0.0,1.616385953879591e-11,0.0,0.0,0.9997528388318903,1.0002472222718553,1.0002472222718553,0.9997528337531063,1.0002472171905596,1.0002472171905596
2,2.0,5.124182071374976e-12,1.737590850738618e-16,2.135711529016689e-20,5.117537286508092e-12,1.736680420327139e-16,-1.634418748124469e-21,8.270399295202721e-12,1.332480595672334e-16,4.357559004078891e-17,0.9992586997465012,0.9997528388318903,0.9997528388318903,0.9992586845176848,0.9997528235955432,0.9997528235955432
3,3.0,5.150600307363551e-12,2.253925633587858e-16,6.38954584527483e-22,5.141000594546722e-12,2.252834351792378e-16,-6.794619357463542e-22,4.557113436414026e-12,2.165437331575194e-16,2.704935243344265e-17,0.9985179490190682,0.9990117217990282,0.9990117217990282,0.9985179185840257,0.9990116913489353,0.9990116913489353
4,4.0,4.777269920311007e-12,3.539763160116463e-16,-1.442318797606593e-20,4.767840909363025e-12,3.53295144884034e-16,3.30077497683362e-21,4.119900288834468e-12,2.426235443150192e-16,3.017433603944019e-17,0.9975311354967735,0.9980244202918587,0.9980244202918587,0.9975310848218639,0.9980243695918902,0.9980243695918902
5,5.0,1.755291244738279e-12,1.350325819242818e-17,-1.879759451547374e-22,1.747105160279923e-12,1.343454531227548e-17,2.175265946138813e-22,1.916109277476915e-12,5.5695134483287e-17,-3.128715808908598e-18,0.996298989921036,0.9967916654131571,0.9967916654131571,0.9962989140026168,0.9967915894571957,0.9967915894571957
6,6.0,8.990008053015142e-13,2.573141367550086e-18,2.795369129018309e-21,8.953730410208227e-13,2.514771267086972e-18,-5.036413578824911e-22,1.396929688360566e-12,1.914901624840776e-17,-4.107684228272004e-19,0.9948224240257223,0.9953143693476468,0.9953143693476468,0.9948223178975513,0.9953142631669949,0.9953142631669949
7,7.0,1.37386565543695e-12,3.508560779370494e-18,-2.787108825329391e-22,1.365908015595081e-12,3.496911222276173e-18,-5.742684660415381e-23,1.281587687528538e-12,1.397266011100727e-18,3.056718022735256e-18,0.9931025294128355,0.9935936242371349,0.9935936242371349,0.9931023881533935,0.9935934829078393,0.9935934829078393
8,8.0,1.192164757104978e-12,8.394896989600024e-18,1.189445304109347e-21,1.180645777794044e-12,8.310703399109011e-18,1.66448427402273e-22,1.309212792045817e-12,1.002136387631873e-17,1.745983485627131e-19,0.9911405762076236,0.9916307008349535,0.9916307008349535,0.9911403949473594,0.991630519485055,0.991630519485055
9,9.0,4.077946377009432e-13,4.252608551261117e-18,-1.279189310613825e-22,4.024700792344739e-13,4.20387662763373e-18,-3.086583466662064e-22,3.734689004023572e-13,2.834824387459446e-18,-3.613355874882088e-19,0.9889380114954266,0.989427046942034,0.989427046942034,0.9889377854239053,0.9894268207587192,0.9894268207587192
10,10.0,7.253966401243252e-13,8.156709528000632e-18,-5.238753800406403e-22,7.151123037121944e-13,8.050340379848195e-18,1.572927262922197e-22,6.640008453822102e-13,5.945319055638071e-18,7.108855334720756e-19,0.986496457542954,0.9869842856273067,0.9869842856273067,0.9864961819158973,0.9869840098639506,0.9869840098639506
11,11.0,2.306571766562434e-13,2.387701984369276e-18,-1.537985880028364e-22,2.272444201475751e-13,2.358034977004525e-18,-8.732776344586443e-23,2.288550519825964e-13,2.9011845802029e-18,3.184701544661682e-22,0.9838177098070578,0.9843042132354863,0.9843042132354863,0.9838173799532594,0.9843038832185733,0.9843038832185733
12,12.0,7.676161572580052e-13,2.342368247684773e-18,1.851132660407891e-21,7.528447606241676e-13,2.298113154625238e-18,-4.613731565055722e-22,7.471342909204037e-13,2.551792649190269e-18,-3.558469965936523e-19,0.9809037347344152,0.9813887971856697,0.9813887971856697,0.9809033460625254,0.9813884083215794,0.9813884083215794
13,13.0,4.528838625759902e-13,2.626826248296856e-18,9.077970107553564e-23,4.43223452233679e-13,2.576740304463051e-18,5.644648680386621e-23,4.48215835154265e-13,2.316242639491052e-18,-2.223250974542288e-20,0.977756667355903,0.9782401735645185,0.9782401735645185,0.9777562153610628,0.9782397213461643,0.9782397213461643
14,14.0,4.319015030607993e-13,1.93632283562332e-18,-6.154714785429871e-22,4.202179490180956e-13,1.88181277553148e-18,7.320476964736303e-23,4.276479061448493e-13,2.366659440809759e-18,-7.546995728151383e-20,0.9743788086797792,0.9748606445181519,0.9748606445181519,0.9743782889500977,0.9748601245314613,0.9748601245314613
15,15.0,4.788551279253154e-13,2.846431468787444e-18,6.254130902217174e-23,4.65920600199183e-13,2.783042522593745e-18,-2.136006481256362e-23,4.635110653703977e-13,2.576755387892036e-18,-1.116709297434408e-19,0.9707726228881265,0.9712526754472052,0.9712526754472052,0.9707720311109894,0.971252083377431,0.971252083377431
16,16.0,2.620090872075797e-13,7.995245684338877e-19,-2.404429618717067e-22,2.537540958940953e-13,7.784414669261757e-19,-1.559474816010977e-23,2.47687258998769e-13,8.884774480393578e-19,2.846983214531559e-20,0.966940734341342,0.9674188920098358,0.9674188920098358,0.9669400663095375,0.9674182236476858,0.9674182236476858
17,17.0,2.866219047711578e-13,1.241481757643758e-18,-4.222432547999762e-24,2.757184322083756e-13,1.19389664235181e-18,6.135588777880316e-23,2.614485747793046e-13,1.030766943141516e-18,-1.184356238395426e-19,0.9628859243957687,0.9633620769377838,0.9633620769377838,0.9628851760134199,0.9633613281853558,0.9633613281853558
18,18.0,1.843220535201978e-13,1.24743503454888e-18,4.388830295113361e-22,1.765654172938035e-13,1.194723559537157e-18,-8.015220457662366e-23,2.004312864684437e-13,1.391793322259697e-18,-6.905251738440507e-20,0.9586111280398696,0.9590851666708804,0.9590851666708804,0.9586102953281682,0.9590843335473985,0.9590843335473985
19,19.0,1.067709307069678e-13,5.97195047904688e-19,1.22649055965011e-23,1.02011717689902e-13,5.692662006691414e-19,2.85854333491546e-23,1.344830667915907e-13,7.869597972243543e-19,1.238922762649651e-20,0.9541194303546391,0.95459124781571,0.95459124781571,0.9541185094573629,0.9545903264630451,0.9545903264630451
20,20.0,3.374420840421065e-13,1.692899559567404e-18,-7.884896659165952e-22,3.208070187735622e-13,1.606663968484188e-18,1.984073378376121e-22,2.688347674661262e-13,1.264041722656811e-18,-1.647771871094462e-19,0.9494140628042258,0.9498835534343986,0.9498835534343986,0.9494130499930368,0.949882540122369,0.949882540122369
21,21.0,1.519889218949676e-13,2.239529631800536e-18,-2.837260028282975e-23,1.437391752226174e-13,2.12080364404514e-18,-1.050480100788508e-23,1.483532145247829e-13,1.956037073329195e-18,1.636752731202583e-20,0.9444983993630093,0.9449654591697753,0.9449654591697753,0.9444972910425218,0.944964350301217,0.944964350301217
22,22.0,1.721776729976435e-13,1.373792726936273e-18,1.616127544942496e-22,1.616069542151338e-13,1.287792961044417e-18,-7.384086393788104e-23,1.624492260238042e-13,1.35197885975204e-18,3.240566806068149e-20,0.9393759524856239,0.9398404792134027,0.9398404792134027,0.9393747451982326,0.939839271329001,0.939839271329001
23,23.0,2.296427337428548e-13,2.507639568380997e-18,3.573153871688343e-24,2.144603083687175e-13,2.348224061410885e-18,1.596574911335149e-23,2.13330196442117e-13,2.519069089549202e-18,-2.678445754783597e-20,0.9340503689266676,0.9345122621232201,0.9345122621232201,0.9340490593571293,0.9345109519060923,0.9345109519060923
24,24.0,1.66131845331494e-13,2.211787023328354e-18,9.954742837732969e-23,1.54401015051607e-13,2.062474070324449e-18,1.979080571702634e-23,1.735229866927653e-13,2.022120356291486e-18,-7.567219654792666e-21,0.9285254254170535,0.9289845864977553,0.9289845864977553,0.9285240103968139,0.9289831707777801,0.9289831707777801
25,25.0,1.639974203180461e-13,2.986300982968103e-18,-1.349466410230076e-23,1.516051223362114e-13,2.755630317390583e-18,-2.967438074703678e-23,1.482368045102595e-13,2.6031399028652e-18,7.959659681055242e-21,0.9228050242041775,0.9232613565140874,0.9232613565140874,0.92280350071544,0.923259832271976,0.923259832271976
26,26.0,1.872377255086402e-13,2.460886441274901e-18,-8.133891629039154e-23,1.717214925025937e-13,2.253390196981642e-18,7.099249548646038e-24,1.613791295938355e-13,2.406732809959283e-18,-2.276234872867776e-20,0.9168931884632656,0.9173465973369254,0.9173465973369254,0.9168915536427912,0.917344961708023,0.917344961708023
27,27.0,1.000330958072668e-13,2.346524455436843e-18,8.159067466899472e-24,9.11208948697122e-14,2.137808278983897e-18,-7.764923820655526e-24,9.72384459093094e-14,2.509670365246397e-18,-1.074072027729088e-20,0.9107940575874494,0.9112444504063543,0.9112444504063543,0.9107923087300839,0.9112427006841689,0.9112427006841689
28,28.0,9.095142811087455e-14,3.565342633029534e-18,2.277420842727981e-22,8.21153050265014e-14,3.225765074036261e-18,-5.257590463820178e-23,8.995807769684606e-14,2.972806034042845e-18,-1.812827557093486e-21,0.9045118823642757,0.9049591686119597,0.9049591686119597,0.9045100169262014,0.9049573022514157,0.9049573022514157
