,ell,oTT,oEE,oBB,sTT,sEE,sBB,pTT,pEE,pBB,wTT,wEE,wBB,wTT_mkb,wEE_mkb,wBB_mkb
0,0.0,2.893113266971571e-11,0.0,0.0,2.8924814683916e-11,0.0,0.0,1.811898042008039e-11,0.0,0.0,1.0,1.0007212558248575,1.0007212558248575,1.0,1.0007992065582465,1.0007992065582465
1,1.0,1.641506380027996e-11,0.0,0.0,1.639595735731268e-11,0.0,0.0,1.613297037302097e-11,0.0,0.0,0.9996395670491308,1.000360562909623,1.000360562909623,0.9995771370344201,1.0003760056378115,1.0003760056378115
2,2.0,5.124182071374976e-12,1.737590850738619e-16,2.135711529042967e-20,5.114122061629831e-12,1.73628844231966e-16,-1.371662022399589e-21,8.251414330468541e-12,1.112237127157833e-16,3.627064831665631e-17,0.9989190908363039,0.9996395670491308,0.9996395670491308,0.9987319608369917,0.9995301539700231,0.9995301539700231
3,3.0,5.15060030736355e-12,2.253925633587854e-16,6.389545841781837e-22,5.135228593460619e-12,2.251469481164539e-16,-2.192527385181859e-22,4.545842896237365e-12,1.805443277820616e-16,2.256121826860649e-17,0.997839350037228,0.9985590474807143,0.9985590474807143,0.9974655696579844,0.9982627506828803,0.9982627506828803
4,4.0,4.777269920311007e-12,3.539763160116466e-16,-1.442318797585308e-20,4.761807325198435e-12,3.529294186030108e-16,2.790500929070689e-21,4.107867823036051e-12,2.024510315769317e-16,2.512780220187706e-17,0.9964015109119492,0.997120171305591,0.997120171305591,0.995779607833652,0.996575441426801,0.996575441426801
5,5.0,1.755291244738279e-12,1.350325819242789e-17,-1.879759453229669e-22,1.742381452440029e-12,1.340775729729999e-17,-8.419570666608787e-23,1.908188321306835e-12,4.645528517685189e-17,-2.619914597583301e-18,0.9946071252055846,0.9953244913880839,0.9953244913880839,0.9936762621500048,0.9944704147354891,0.9944704147354891
6,6.0,8.990008053015141e-13,2.573141367550255e-18,2.795369129187503e-21,8.931328822412354e-13,2.494016364001889e-18,-4.20884416136999e-22,1.390773602303557e-12,1.600028407354333e-17,-3.464823372571944e-19,0.9924581273575364,0.9931739435628202,0.9931739435628202,0.9911582570123838,0.9919503971916483,0.9919503971916483
7,7.0,1.37386565543695e-12,3.508560779370375e-18,-2.787108826437123e-22,1.360799240425802e-12,3.484791628276313e-18,-1.920971410799887e-22,1.27437882347475e-12,1.144933506070371e-18,2.543785991643904e-18,0.9899568310262128,0.9906708431569479,0.9906708431569479,0.9882288484360349,0.9890186474127535,0.9890186474127535
8,8.0,1.192164757104978e-12,8.394896989600198e-18,1.189445304271048e-21,1.173778974193575e-12,8.264724524348213e-18,1.572828703986803e-22,1.298538224401159e-12,8.335322754773215e-18,1.430722579173994e-19,0.9871059249379973,0.9878178808361101,0.9878178808361101,0.9848918168766257,0.985678948875837,0.985678948875837
9,9.0,4.077946377009439e-13,4.252608551260962e-18,-1.279189312119855e-22,3.992371797799059e-13,4.170250055991354e-18,-1.14864621200828e-22,3.698543629813596e-13,2.349130973483925e-18,-3.062500478125979e-19,0.9839084680708896,0.9846181177846122,0.9846181177846122,0.981151458923198,0.9819356016038027,0.9819356016038027
10,10.0,7.25396640124325e-13,8.156709528000743e-18,-5.238753799214747e-22,7.087655341251204e-13,7.988120502793546e-18,1.348213106246209e-22,6.571300725459058e-13,4.9321916730754e-18,5.882368268658261e-19,0.9803678841848957,0.9810749802318672,0.9810749802318672,0.9770125778796093,0.9777934127393401,0.9777934127393401
11,11.0,2.306571766562441e-13,2.387701984369165e-18,-1.537985881105991e-22,2.252026794476638e-13,2.335396883395268e-18,-6.472284100314427e-23,2.261431683622766e-13,2.402971911913657e-18,-7.402559873667647e-21,0.9764879557128574,0.9771922533388184,0.9771922533388184,0.9724804732639024,0.9732576860359016,0.9732576860359016
