,ell,oTT,oEE,oBB,sTT,sEE,sBB,pTT,pEE,pBB,wTT,wEE,wBB,wTT_mkb,wEE_mkb,wBB_mkb
0,0.0,2.893113266971572e-11,0.0,0.0,2.892950652969136e-11,0.0,0.0,1.816266531257885e-11,0.0,0.0,1.0,1.0004558290573684,1.0004558290573684,1.0,1.0004558290573684,1.0004558290573684
1,1.0,1.641506380027997e-11,0.0,0.0,1.640266542734099e-11,0.0,0.0,1.616983269589175e-11,0.0,0.0,0.9997721633592785,1.0002278885620859,1.0002278885620859,0.9997708970633203,1.000226621688913,1.000226621688913
2,2.0,5.124182071374976e-12,1.737590850738619e-16,2.135711529040763e-20,5.117991330954593e-12,1.73673620211978e-16,-1.640726672485589e-21,8.273595929262088e-12,1.33298334509245e-16,4.360583463959158e-17,0.9993166457946132,0.9997721633592785,0.9997721633592785,0.9993128490833367,0.9997683649173508,0.9997683649173508
3,3.0,5.150600307363551e-12,2.253925633587854e-16,6.389545841894255e-22,5.141745412566678e-12,2.253012114728236e-16,-7.817778291724409e-22,4.558956536087372e-12,2.165936192788413e-16,2.704091937942396e-17,0.9986337585621967,0.9990889648470185,0.9990889648470185,0.9986261716649475,0.9990813744914412,0.9990813744914412
4,4.0,4.777269920311007e-12,3.539763160116466e-16,-1.442318797586141e-20,4.768598283613263e-12,3.533415089897721e-16,3.353741740070641e-21,4.122053911591129e-12,2.427394773723323e-16,3.017827114491822e-17,0.9977239681031923,0.9981787596790868,0.9981787596790868,0.9977113377611466,0.9981661235797641,0.9981661235797641
5,5.0,1.755291244738279e-12,1.350325819242789e-17,-1.879759453208464e-22,1.747713762103953e-12,1.343797332203068e-17,2.816627652760006e-22,1.917335722758507e-12,5.572634043489899e-17,-3.136532094272564e-18,0.9965878955127773,0.9970421692337736,0.9970421692337736,0.9965689771286311,0.9970232422260783,0.9970232422260783
6,6.0,8.990008053015142e-13,2.573141367550255e-18,2.795369129191296e-21,8.956524679005477e-13,2.517299945067652e-18,-5.11698092863931e-22,1.397836059003409e-12,1.916246337498199e-17,-4.114901573097526e-19,0.9952263158335145,0.9956799689069291,0.9956799689069291,0.9951998756032995,0.995653516624489,0.995653516624489
7,7.0,1.37386565543695e-12,3.508560779370375e-18,-2.787108826509291e-22,1.366550822431824e-12,3.498294168491141e-18,-2.80662014958839e-23,1.28255694640728e-12,1.397290754308927e-18,3.061888672241529e-18,0.9936401571741811,0.9940930872303894,0.9940930872303894,0.9936049741968378,0.9940578882156226,0.9940578882156226
8,8.0,1.192164757104978e-12,8.394896989600211e-18,1.189445304278148e-21,1.181521864012153e-12,8.316691421757035e-18,1.693268278652919e-22,1.310441129073793e-12,1.003349587930158e-17,1.759278259308744e-19,0.991830499655457,0.9922826048171843,0.9922826048171843,0.9917853680158233,0.9922374526052379,0.9922374526052379
9,9.0,4.077946377009432e-13,4.252608551260949e-18,-1.279189312171892e-22,4.028818464090216e-13,4.20825325130403e-18,-3.491731969968139e-22,3.740165647926767e-13,2.840142445394127e-18,-3.611296687354804e-19,0.9897985741841473,0.9902497531352024,0.9902497531352024,0.9897423050051145,0.9901934583070429,0.9901934583070429
