,ell,oTT,oEE,oBB,sTT,sEE,sBB,pTT,pEE,pBB,wTT,wEE,wBB,wTT_mkb,wEE_mkb,wBB_mkb
0,0.0,2.893113266971571e-11,0.0,0.0,2.89295060775274e-11,0.0,0.0,1.819755337859086e-11,0.0,0.0,1.0,1.0004558626664728,1.0004558626664728,1.0,1.0004558626664728,1.0004558626664728
1,1.0,1.641506380027996e-11,0.0,0.0,1.640266476017079e-11,0.0,0.0,1.61970144877283e-11,0.0,0.0,0.9997721465662103,1.000227905362809,1.000227905362809,0.9997707891864632,1.0002265473642833,1.0002265473642833
2,2.0,5.124182071374976e-12,1.737590850738616e-16,2.135711528997372e-20,5.117990934777342e-12,1.73673615574673e-16,-1.640733316791937e-21,8.287202009519472e-12,1.329205049478969e-16,4.37685221215884e-17,0.9993165954383637,0.9997721465662107,0.9997721465662107,0.9993125256337563,0.9997680749063312,0.9997680749063312
3,3.0,5.15060030736355e-12,2.253925633587855e-16,6.389545844015325e-22,5.141744768595304e-12,2.253011957124797e-16,-7.8166756647906e-22,4.564911428131253e-12,2.170076816980473e-16,2.687499086767998e-17,0.9986336579185221,0.9990888977206502,0.9990888977206502,0.9986255253083783,0.9990807614031532,0.9990807614031532
4,4.0,4.777269920311007e-12,3.539763160116463e-16,-1.442318797614361e-20,4.768597629233358e-12,3.533414689835036e-16,3.353769496763316e-21,4.129171967668575e-12,2.433651761584428e-16,3.02041635171045e-17,0.997723800516557,0.9981786255486637,0.9981786255486637,0.9977102617048066,0.9981650805650747,0.9981650805650747
5,5.0,1.755291244738279e-12,1.350325819242822e-17,-1.87975945059547e-22,1.747713232587753e-12,1.343797035714265e-17,2.81601789628482e-22,1.919882750019173e-12,5.595207335963154e-17,-3.090924848532094e-18,0.9965876444190725,0.9970419515200312,0.9970419515200312,0.9965673652999968,0.9970216631564621,0.9970216631564621
6,6.0,8.990008053015141e-13,2.573141367549943e-18,2.795369128909605e-21,8.956522280039837e-13,2.517297705508862e-18,-5.11676044775873e-22,1.399626824144877e-12,1.928280184251148e-17,-3.881323580958495e-19,0.9952259647826217,0.9956796511446704,0.9956796511446704,0.9951976228274124,0.9956512962694218,0.9956512962694218
7,7.0,1.37386565543695e-12,3.508560779370656e-18,-2.787108823689054e-22,1.366550267169967e-12,3.498292948501404e-18,-2.809751599106807e-23,1.284234315444114e-12,1.334684021810803e-18,3.180588909598469e-18,0.9936396898523424,0.9940926530908715,0.9940926530908715,0.9936019763717789,0.9940549224181403,0.9940549224181403
8,8.0,1.192164757104978e-12,8.394896989599893e-18,1.18944530397972e-21,1.181521099229061e-12,8.316686191359156e-18,1.693218906222062e-22,1.312837955745272e-12,1.01059795475632e-17,1.515441819996473e-19,0.9918298999074117,0.9922820381302708,0.9922820381302708,0.9917815222860118,0.9922336384553193,0.9922336384553193
9,9.0,4.077946377009439e-13,4.252608551261188e-18,-1.279189309885659e-22,4.02881488835877e-13,4.208249407243483e-18,-3.491378779196541e-22,3.741778240530081e-13,2.797104580872097e-18,-3.370504458500726e-19,0.9897978260349987,0.9902490379112439,0.9902490379112439,0.9897375099320633,0.9901886943124492,0.9901886943124492
10,10.0,7.25396640124325e-13,8.15670952800052e-18,-5.238753801578165e-22,7.159192271197504e-13,8.058209137366355e-18,1.595897561879546e-22,6.652958733817594e-13,5.947418367344649e-18,6.985806627398859e-19,0.9875448487346649,0.9879950335626705,0.9879950335626705,0.9874713402477263,0.987921491565957,0.987921491565957
