,ell,oTT,oEE,oBB,sTT,sEE,sBB,pTT,pEE,pBB,wTT,wEE,wBB,wTT_mkb,wEE_mkb,wBB_mkb
0,0.0,2.893113266971571e-11,0.0,0.0,2.89295060775274e-11,0.0,0.0,1.819741659786219e-11,0.0,0.0,1.0,1.0004558626664728,1.0004558626664728,1.0,1.0004558626664728,1.0004558626664728
1,1.0,1.641506380027995e-11,0.0,0.0,1.640266476017078e-11,0.0,0.0,1.619704832903201e-11,0.0,0.0,0.9997721465662103,1.000227905362809,1.000227905362809,0.9997707891864632,1.0002265473642833,1.0002265473642833
2,2.0,5.124182071374974e-12,1.737590850738618e-16,2.135711529029407e-20,5.11799093477734e-12,1.736736155746731e-16,-1.640733316635943e-21,8.287154350269973e-12,1.334674936538879e-16,4.371683428308353e-17,0.9993165954383637,0.9997721465662107,0.9997721465662107,0.9993125256337563,0.9997680749063312,0.9997680749063312
3,3.0,5.150600307363552e-12,2.253925633587854e-16,6.389545843089555e-22,5.141744768595302e-12,2.253011957124794e-16,-7.816675666295108e-22,4.564807076810358e-12,2.170898817108613e-16,2.710789434883434e-17,0.9986336579185221,0.9990888977206502,0.9990888977206502,0.9986255253083783,0.9990807614031532,0.9990807614031532
4,4.0,4.777269920311003e-12,3.539763160116465e-16,-1.442318797590401e-20,4.768597629233356e-12,3.533414689835036e-16,3.353769496915621e-21,4.129195832648328e-12,2.430653360151698e-16,3.024564654903433e-17,0.997723800516557,0.9981786255486637,0.9981786255486637,0.9977102617048066,0.9981650805650747,0.9981650805650747
5,5.0,1.755291244738279e-12,1.350325819242801e-17,-1.879759452647544e-22,1.747713232587753e-12,1.343797035714257e-17,2.816017895225949e-22,1.919887566628096e-12,5.579413957532427e-17,-3.142832022224885e-18,0.9965876444190725,0.9970419515200312,0.9970419515200312,0.9965673652999968,0.9970216631564621,0.9970216631564621
6,6.0,8.990008053015136e-13,2.573141367550228e-18,2.795369129146423e-21,8.956522280039819e-13,2.517297705508995e-18,-5.116760446873508e-22,1.399618589813206e-12,1.91739437998772e-17,-4.055827491233696e-19,0.9952259647826217,0.9956796511446704,0.9956796511446704,0.9951976228274124,0.9956512962694218,0.9956512962694218
7,7.0,1.373865655436949e-12,3.508560779370393e-18,-2.787108826016198e-22,1.366550267169965e-12,3.498292948501326e-18,-2.809751605400604e-23,1.284224752909616e-12,1.410640803610286e-18,3.063710500575167e-18,0.9936396898523424,0.9940926530908715,0.9940926530908715,0.9936019763717789,0.9940549224181403,0.9940549224181403
8,8.0,1.192164757104977e-12,8.394896989600123e-18,1.189445304204484e-21,1.181521099229061e-12,8.316686191359184e-18,1.693218906373807e-22,1.312837605032167e-12,1.003284800725499e-17,1.719455547181468e-19,0.9918298999074117,0.9922820381302708,0.9922820381302708,0.9917815222860118,0.9922336384553193,0.9922336384553193
9,9.0,4.077946377009436e-13,4.252608551261021e-18,-1.279189311653346e-22,4.028814888358767e-13,4.208249407243479e-18,-3.491378779195668e-22,3.74187867968065e-13,2.842322344864004e-18,-3.5335822947276e-19,0.9897978260349987,0.9902490379112439,0.9902490379112439,0.9897375099320633,0.9901886943124492,0.9901886943124492
