,ell,oTT,oEE,oBB,sTT,sEE,sBB,pTT,pEE,pBB,wTT,wEE,wBB,wTT_mkb,wEE_mkb,wBB_mkb
0,0.0,2.893113266971572e-11,0.0,0.0,2.892950607752739e-11,0.0,0.0,1.819755337859085e-11,0.0,0.0,1.0,1.0004558626664728,1.0004558626664728,1.0,1.0004558626664728,1.0004558626664728
1,1.0,1.641506380027997e-11,0.0,0.0,1.640266476017079e-11,0.0,0.0,1.619701448772829e-11,0.0,0.0,0.9997721465662103,1.000227905362809,1.000227905362809,0.9997707891864632,1.0002265473642833,1.0002265473642833
2,2.0,5.124182071374976e-12,1.737590850738619e-16,2.135711529040763e-20,5.117990934777342e-12,1.736736155746729e-16,-1.640733316825859e-21,8.287202009519469e-12,1.329205049478967e-16,4.376852212158829e-17,0.9993165954383637,0.9997721465662107,0.9997721465662107,0.9993125256337563,0.9997680749063312,0.9997680749063312
3,3.0,5.150600307363551e-12,2.253925633587854e-16,6.389545841894255e-22,5.141744768595304e-12,2.253011957124797e-16,-7.816675664557057e-22,4.564911428131252e-12,2.170076816980472e-16,2.687499086767994e-17,0.9986336579185221,0.9990888977206502,0.9990888977206502,0.9986255253083783,0.9990807614031532,0.9990807614031532
4,4.0,4.777269920311007e-12,3.539763160116466e-16,-1.442318797586141e-20,4.768597629233357e-12,3.533414689835036e-16,3.353769496736542e-21,4.129171967668574e-12,2.433651761584428e-16,3.020416351710451e-17,0.997723800516557,0.9981786255486637,0.9981786255486637,0.9977102617048066,0.9981650805650747,0.9981650805650747
5,5.0,1.755291244738279e-12,1.350325819242789e-17,-1.879759453208464e-22,1.747713232587754e-12,1.34379703571427e-17,2.816017896578705e-22,1.919882750019173e-12,5.595207335963146e-17,-3.090924848532105e-18,0.9965876444190725,0.9970419515200312,0.9970419515200312,0.9965673652999968,0.9970216631564621,0.9970216631564621
6,6.0,8.990008053015142e-13,2.573141367550255e-18,2.795369129191296e-21,8.956522280039836e-13,2.517297705508837e-18,-5.116760448060488e-22,1.399626824144876e-12,1.928280184251148e-17,-3.881323580958472e-19,0.9952259647826217,0.9956796511446704,0.9956796511446704,0.9951976228274124,0.9956512962694218,0.9956512962694218
7,7.0,1.37386565543695e-12,3.508560779370375e-18,-2.787108826509291e-22,1.366550267169966e-12,3.49829294850144e-18,-2.809751596652236e-23,1.284234315444113e-12,1.334684021810835e-18,3.180588909598495e-18,0.9936396898523424,0.9940926530908715,0.9940926530908715,0.9936019763717789,0.9940549224181403,0.9940549224181403
8,8.0,1.192164757104978e-12,8.394896989600211e-18,1.189445304278148e-21,1.18152109922906e-12,8.316686191359144e-18,1.693218905992904e-22,1.312837955745273e-12,1.010597954756319e-17,1.515441819996463e-19,0.9918298999074117,0.9922820381302708,0.9922820381302708,0.9917815222860118,0.9922336384553193,0.9922336384553193
9,9.0,4.077946377009432e-13,4.252608551260949e-18,-1.279189312171892e-22,4.028814888358765e-13,4.208249407243507e-18,-3.491378778978346e-22,3.741778240530078e-13,2.79710458087213e-18,-3.370504458500375e-19,0.9897978260349987,0.9902490379112439,0.9902490379112439,0.9897375099320633,0.9901886943124492,0.9901886943124492
10,10.0,7.253966401243252e-13,8.156709528000749e-18,-5.23875379917774e-22,7.159192271197505e-13,8.05820913736633e-18,1.595897561625086e-22,6.652958733817597e-13,5.947418367344636e-18,6.985806627398608e-19,0.9875448487346649,0.9879950335626705,0.9879950335626705,0.9874713402477263,0.987921491565957,0.987921491565957
11,11.0,2.306571766562434e-13,2.387701984369165e-18,-1.537985881129642e-22,2.275078450073732e-13,2.360812828008868e-18,-9.132400258928755e-23,2.296985918439254e-13,2.908915006466935e-18,-3.776865255925392e-21,0.9850724963554232,0.9855215541302806,0.9855215541302806,0.984984564141706,0.9854335818315502,0.9854335818315502
