,ell,oTT,oEE,oBB,sTT,sEE,sBB,pTT,pEE,pBB,wTT,wEE,wBB,wTT_mkb,wEE_mkb,wBB_mkb
0,0.0,2.893113266971571e-11,0.0,0.0,2.892950607752739e-11,0.0,0.0,1.819755288222614e-11,0.0,0.0,1.0,1.0004558626664728,1.0004558626664728,1.0,1.0004558626664728,1.0004558626664728
1,1.0,1.641506380027996e-11,0.0,0.0,1.640266476017079e-11,0.0,0.0,1.619701571374751e-11,0.0,0.0,0.9997721465662103,1.000227905362809,1.000227905362809,0.9997707891864632,1.0002265473642833,1.0002265473642833
2,2.0,5.124182071374976e-12,1.643265184056608e-31,2.102607089168109e-31,5.117990934777342e-12,1.642216688850876e-31,2.101874923804522e-31,8.287203074877807e-12,7.19503326287725e-22,7.547833764688368e-23,0.9993165954383637,0.9997721465662107,0.9997721465662107,0.9993125256337563,0.9997680749063312,0.9997680749063312
3,3.0,5.15060030736355e-12,1.951398293701407e-32,4.300872602043417e-32,5.141744768595304e-12,1.94921281134993e-32,4.296095989040019e-32,4.564910698900138e-12,3.043746751760039e-22,-1.631074316761578e-22,0.9986336579185221,0.9990888977206502,0.9990888977206502,0.9986255253083783,0.9990807614031532,0.9990807614031532
4,4.0,4.777269920311007e-12,2.677408739477172e-32,3.773269054011e-32,4.768597629233357e-12,2.672968373118392e-32,3.762720637491052e-32,4.129171871377905e-12,8.194235454316874e-22,1.585175187660705e-22,0.997723800516557,0.9981786255486637,0.9981786255486637,0.9977102617048066,0.9981650805650747,0.9981650805650747
5,5.0,1.755291244738279e-12,1.146060021510348e-32,3.619007650936359e-32,1.747713232587754e-12,1.142117777599969e-32,3.608031684290156e-32,1.919882087517998e-12,1.232480296285792e-22,1.032963650396284e-21,0.9965876444190725,0.9970419515200312,0.9970419515200312,0.9965673652999968,0.9970216631564621,0.9970216631564621
6,6.0,8.990008053015141e-13,3.234536851855163e-32,3.895435265041996e-32,8.956522280039836e-13,3.22151838716641e-32,3.87950341652583e-32,1.399626724669697e-12,2.632311471202695e-22,7.324237412888208e-22,0.9952259647826217,0.9956796511446704,0.9956796511446704,0.9951976228274124,0.9956512962694218,0.9956512962694218
7,7.0,1.37386565543695e-12,1.22035207504084e-32,1.248920064072991e-32,1.366550267169966e-12,1.212560198396102e-32,1.241968192963441e-32,1.284234045132703e-12,8.552747418804742e-22,2.626225715153249e-21,0.9936396898523424,0.9940926530908715,0.9940926530908715,0.9936019763717789,0.9940549224181403,0.9940549224181403
8,8.0,1.192164757104978e-12,7.299964473003283e-33,8.648367313116779e-33,1.18152109922906e-12,7.254602083818527e-33,8.597830882542597e-33,1.312837912665821e-12,1.553356857002978e-21,9.171782175666376e-22,0.9918298999074117,0.9922820381302708,0.9922820381302708,0.9917815222860118,0.9922336384553193,0.9922336384553193
9,9.0,4.077946377009439e-13,8.354216576047755e-33,2.688826006439451e-33,4.028814888358765e-13,8.257602629901125e-33,2.652162414899347e-33,3.741778065729561e-13,7.27643406463486e-22,5.668089197060573e-22,0.9897978260349987,0.9902490379112439,0.9902490379112439,0.9897375099320633,0.9901886943124492,0.9901886943124492
10,10.0,7.25396640124325e-13,6.758342268352061e-33,2.672861385040282e-33,7.159192271197505e-13,6.677117239370193e-33,2.642386529950539e-33,6.652959550021682e-13,1.353611896880551e-21,9.104787885617775e-23,0.9875448487346649,0.9879950335626705,0.9879950335626705,0.9874713402477263,0.987921491565957,0.987921491565957
11,11.0,2.306571766562441e-13,7.680060035384997e-33,1.025289628629154e-32,2.275078450073732e-13,7.577917119418748e-33,1.009342287144252e-32,2.296986002724883e-13,4.713116146286055e-22,9.974146081354226e-23,0.9850724963554232,0.9855215541302806,0.9855215541302806,0.984984564141706,0.9854335818315502,0.9854335818315502
12,12.0,7.676161572580046e-13,3.926549522348349e-33,4.003032341307048e-33,7.539967298310509e-13,3.858880712768959e-33,3.938758095956165e-33,7.486766837399853e-13,9.61599726106121e-22,7.086355645490335e-22,0.9823824433679357,0.9828302748480653,0.9828302748480653,0.9822788807195298,0.9827266649893144,0.9827266649893144
