,ell,oTT,oEE,oBB,sTT,sEE,sBB,pTT,pEE,pBB,wTT,wEE,wBB,wTT_mkb,wEE_mkb,wBB_mkb
0,0.0,2.893113266971571e-11,0.0,0.0,2.892950607752739e-11,0.0,0.0,1.819741659786219e-11,0.0,0.0,1.0,1.0004558626664728,1.0004558626664728,1.0,1.0004558626664728,1.0004558626664728
1,1.0,1.641506380027995e-11,0.0,0.0,1.640266476017079e-11,0.0,0.0,1.619704832903201e-11,0.0,0.0,0.9997721465662103,1.000227905362809,1.000227905362809,0.9997707891864632,1.0002265473642833,1.0002265473642833
2,2.0,5.124182071374974e-12,1.643265184056607e-31,2.102607089168108e-31,5.117990934777342e-12,1.642216688850874e-31,2.10187492380452e-31,8.287154350269973e-12,4.635171401830536e-48,-9.982093044657505e-51,0.9993165954383637,0.9997721465662107,0.9997721465662107,0.9993125256337563,0.9997680749063312,0.9997680749063312
3,3.0,5.150600307363552e-12,1.951398293701432e-32,4.300872602043436e-32,5.141744768595304e-12,1.949212811349925e-32,4.296095989040014e-32,4.564807076810358e-12,7.285967716083107e-48,1.770077791885337e-47,0.9986336579185221,0.9990888977206502,0.9990888977206502,0.9986255253083783,0.9990807614031532,0.9990807614031532
4,4.0,4.777269920311003e-12,2.677408739477164e-32,3.773269054010995e-32,4.768597629233357e-12,2.672968373118388e-32,3.762720637491049e-32,4.129195832648328e-12,2.196610567994125e-47,1.136881632837188e-47,0.997723800516557,0.9981786255486637,0.9981786255486637,0.9977102617048066,0.9981650805650747,0.9981650805650747
5,5.0,1.755291244738279e-12,1.146060021510361e-32,3.619007650936372e-32,1.747713232587754e-12,1.142117777599965e-32,3.608031684290151e-32,1.919887566628096e-12,1.519703988568918e-47,3.676810735985299e-48,0.9965876444190725,0.9970419515200312,0.9970419515200312,0.9965673652999968,0.9970216631564621,0.9970216631564621
6,6.0,8.990008053015136e-13,3.234536851855157e-32,3.895435265041991e-32,8.956522280039836e-13,3.221518387166412e-32,3.87950341652583e-32,1.399618589813206e-12,1.250607192335969e-47,-4.125944781453022e-48,0.9952259647826217,0.9956796511446704,0.9956796511446704,0.9951976228274124,0.9956512962694218,0.9956512962694218
7,7.0,1.373865655436949e-12,1.220352075040847e-32,1.248920064072999e-32,1.366550267169966e-12,1.212560198396104e-32,1.241968192963442e-32,1.284224752909616e-12,3.336822877199407e-47,1.562280770631626e-48,0.9936396898523424,0.9940926530908715,0.9940926530908715,0.9936019763717789,0.9940549224181403,0.9940549224181403
8,8.0,1.192164757104977e-12,7.299964473003252e-33,8.648367313116752e-33,1.18152109922906e-12,7.254602083818511e-33,8.597830882542582e-33,1.312837605032167e-12,1.678453720584075e-47,1.027264976658454e-47,0.9918298999074117,0.9922820381302708,0.9922820381302708,0.9917815222860118,0.9922336384553193,0.9922336384553193
9,9.0,4.077946377009436e-13,8.35421657604781e-33,2.688826006439506e-33,4.028814888358765e-13,8.257602629901182e-33,2.65216241489939e-33,3.74187867968065e-13,4.77211924886711e-48,8.111556158085302e-48,0.9897978260349987,0.9902490379112439,0.9902490379112439,0.9897375099320633,0.9901886943124492,0.9901886943124492
10,10.0,7.253966401243245e-13,6.758342268352008e-33,2.672861385040231e-33,7.159192271197505e-13,6.677117239370148e-33,2.642386529950492e-33,6.652990053944734e-13,8.130142348607478e-48,1.172539032950093e-47,0.9875448487346649,0.9879950335626705,0.9879950335626705,0.9874713402477263,0.987921491565957,0.987921491565957
11,11.0,2.306571766562434e-13,7.68006003538506e-33,1.02528962862916e-32,2.275078450073732e-13,7.577917119418796e-33,1.009342287144256e-32,2.297074533566858e-13,1.493724327658022e-47,2.121110772617374e-47,0.9850724963554232,0.9855215541302806,0.9855215541302806,0.984984564141706,0.9854335818315502,0.9854335818315502
12,12.0,7.676161572580046e-13,3.926549522348283e-33,4.003032341306987e-33,7.539967298310509e-13,3.858880712768933e-33,3.938758095956133e-33,7.486785082224836e-13,1.193844413425779e-47,4.045267503567082e-48,0.9823824433679357,0.9828302748480653,0.9828302748480653,0.9822788807195298,0.9827266649893144,0.9827266649893144
