,ell,oTT,oEE,oBB,sTT,sEE,sBB,pTT,pEE,pBB,wTT,wEE,wBB,wTT_mkb,wEE_mkb,wBB_mkb
0,0.0,2.893113266971572e-11,0.0,0.0,2.892950607752739e-11,0.0,0.0,1.819755288222615e-11,0.0,0.0,1.0,1.0004558626664728,1.0004558626664728,1.0,1.0004558626664728,1.0004558626664728
1,1.0,1.641506380027997e-11,0.0,0.0,1.640266476017079e-11,0.0,0.0,1.619701571374751e-11,0.0,0.0,0.9997721465662103,1.000227905362809,1.000227905362809,0.9997707891864632,1.0002265473642833,1.0002265473642833
2,2.0,5.124182071374976e-12,1.643265184056608e-31,2.102607089168108e-31,5.117990934777342e-12,1.642216688850874e-31,2.10187492380452e-31,8.287203074877805e-12,7.195033262876307e-22,7.54783376467891e-23,0.9993165954383637,0.9997721465662107,0.9997721465662107,0.9993125256337563,0.9997680749063312,0.9997680749063312
3,3.0,5.150600307363551e-12,1.951398293701414e-32,4.300872602043418e-32,5.141744768595304e-12,1.949212811349925e-32,4.296095989040014e-32,4.564910698900139e-12,3.043746751761063e-22,-1.631074316760548e-22,0.9986336579185221,0.9990888977206502,0.9990888977206502,0.9986255253083783,0.9990807614031532,0.9990807614031532
4,4.0,4.777269920311007e-12,2.677408739477173e-32,3.773269054011002e-32,4.768597629233357e-12,2.672968373118388e-32,3.762720637491049e-32,4.129171871377905e-12,8.194235454315767e-22,1.585175187659614e-22,0.997723800516557,0.9981786255486637,0.9981786255486637,0.9977102617048066,0.9981650805650747,0.9981650805650747
5,5.0,1.755291244738279e-12,1.146060021510359e-32,3.619007650936368e-32,1.747713232587754e-12,1.142117777599965e-32,3.608031684290151e-32,1.919882087517998e-12,1.232480296286872e-22,1.032963650396391e-21,0.9965876444190725,0.9970419515200312,0.9970419515200312,0.9965673652999968,0.9970216631564621,0.9970216631564621
6,6.0,8.990008053015142e-13,3.234536851855162e-32,3.895435265041995e-32,8.956522280039836e-13,3.221518387166412e-32,3.87950341652583e-32,1.399626724669697e-12,2.632311471201647e-22,7.324237412887151e-22,0.9952259647826217,0.9956796511446704,0.9956796511446704,0.9951976228274124,0.9956512962694218,0.9956512962694218
7,7.0,1.37386565543695e-12,1.220352075040842e-32,1.248920064072994e-32,1.366550267169966e-12,1.212560198396104e-32,1.241968192963442e-32,1.284234045132702e-12,8.552747418805795e-22,2.626225715153352e-21,0.9936396898523424,0.9940926530908715,0.9940926530908715,0.9936019763717789,0.9940549224181403,0.9940549224181403
8,8.0,1.192164757104978e-12,7.29996447300327e-33,8.648367313116765e-33,1.18152109922906e-12,7.254602083818511e-33,8.597830882542582e-33,1.31283791266582e-12,1.553356857002873e-21,9.171782175665315e-22,0.9918298999074117,0.9922820381302708,0.9922820381302708,0.9917815222860118,0.9922336384553193,0.9922336384553193
9,9.0,4.077946377009432e-13,8.354216576047773e-33,2.68882600643947e-33,4.028814888358765e-13,8.257602629901182e-33,2.65216241489939e-33,3.741778065729559e-13,7.276434064635905e-22,5.668089197061602e-22,0.9897978260349987,0.9902490379112439,0.9902490379112439,0.9897375099320633,0.9901886943124492,0.9901886943124492
